Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
11	S2NQ	ring the police yeah bathroom door was closed you 'd make sure where your where your your girlfriend was you	're standing	there with a gun yeah you call the police and you 've got them on guard till the police get	ring_VV0 the_AT police_NN2 yeah_UH bathroom_NN1 door_NN1 was_VBDZ closed_JJ you_PPY 'd_VM make_VVI sure_JJ where_CS your_APPGE where_CS your_APPGE your_APPGE girlfriend_NN1 was_VBDZ you_PPY	're_VBR standing_VVG	there_RL with_IW a_AT1 gun_NN1 yeah_UH you_PPY call_VV0 the_AT police_NN2 and_CC you_PPY 've_VH0 got_VVN them_PPHO2 on_II guard_NN1 till_II the_AT police_NN2 get_VV0	Chatting over coffee with my cleaning lady.	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0255 S0259 S0260	3	2014-10-14	0:22:17	ANON's home	2014 Q4	2014	Friends, wider family circle	Celebrity Trials, wild birds, wildlife, geese, migration.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=10	276517	276518
12	S2PY	all be sort of like dry blood on them and stuff that 's it yeah yeah yeah mm why I	was sitting	in the back I do n't know mm but they were just sort of like there 's probably a couple	all_DB be_VBI sort_RR21 of_RR22 like_RR dry_JJ blood_NN1 on_II them_PPHO2 and_CC stuff_NN1 that_DD1 's_VBZ it_PPH1 yeah_UH yeah_UH yeah_UH mm_UH why_RRQ I_PPIS1	was_VBDZ sitting_VVG	in_II the_AT back_NN1 I_PPIS1 do_VD0 n't_XX know_VVI mm_UH but_CCB they_PPHS2 were_VBDR just_RR sort_RR21 of_RR22 like_RR there_EX 's_VBZ probably_RR a_AT1 couple_NN1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=11	287398	287399
13	S2PY	TV any more no no no and even on Iplayer when I sort of yeah sometimes in the evening I	'm sitting	there and think oh I 'm bored I 'll s- see if there 's anything there 's nothing that I	TV_NN1 any_DD more_DAR no_UH no_UH no_UH and_CC even_RR on_II Iplayer_NP1 when_CS I_PPIS1 sort_RR21 of_RR22 yeah_UH sometimes_RT in_II the_AT evening_NNT1 I_PPIS1	'm_VBM sitting_VVG	there_RL and_CC think_VV0 oh_UH I_PPIS1 'm_VBM bored_JJ I_PPIS1 'll_VM s-_FU see_VVI if_CSW there_EX 's_VBZ anything_PN1 there_EX 's_VBZ nothing_PN1 that_CST I_PPIS1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=12	294755	294756
14	S2T6	they ? no mm no they but I can remember when erm --ANONnameF 's cousin came last year and they	were sitting	it was summer then and we ha- we had we were sitting outside and had a meal in the garden	they_PPHS2 ?_YQUE no_UH mm_UH no_UH they_PPHS2 but_CCB I_PPIS1 can_VM remember_VVI when_RRQ erm_UH --ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2	were_VBDR sitting_VVG	it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2 were_VBDR sitting_VVG outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=13	317773	317774
15	S2T6	--ANONnameF 's cousin came last year and they were sitting it was summer then and we ha- we had we	were sitting	outside and had a meal in the garden and er they had a little girl who was three I should	--ANONnameF_NP1 's_GE cousin_NN1 came_VVD last_MD year_NNT1 and_CC they_PPHS2 were_VBDR sitting_VVG it_PPH1 was_VBDZ summer_NNT1 then_RT and_CC we_PPIS2 ha-_FU we_PPIS2 had_VHD we_PPIS2	were_VBDR sitting_VVG	outside_RL and_CC had_VHD a_AT1 meal_NN1 in_II the_AT garden_NN1 and_CC er_UH they_PPHS2 had_VHD a_AT1 little_JJ girl_NN1 who_PNQS was_VBDZ three_MC I_PPIS1 should_VM		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=14	317785	317786
16	S2T6	stuff for your breakfast down in the bar right ? yeah and so you 'd get up and you 'd	be sitting	in the bar and there 'd be a kettle there and a bowl of cornflakes yeah or something and a	stuff_NN1 for_IF your_APPGE breakfast_NN1 down_RP in_II the_AT bar_NN1 right_RR ?_YQUE yeah_UH and_CC so_CS you_PPY 'd_VM get_VVI up_RP and_CC you_PPY 'd_VM	be_VBI sitting_VVG	in_II the_AT bar_NN1 and_CC there_EX 'd_VM be_VBI a_AT1 kettle_NN1 there_RL and_CC a_AT1 bowl_NN1 of_IO cornflakes_NN2 yeah_UH or_CC something_PN1 and_CC a_AT1		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=15	321896	321897
17	S2T6	something and a toaster yeah you know right like all all you know it was plenty good enough and you	were sitting	there yeah and that 's how bloody trusting they are yeah cos you 've got a bar full of full	something_PN1 and_CC a_AT1 toaster_NN1 yeah_UH you_PPY know_VV0 right_RR like_RR all_DB all_DB you_PPY know_VV0 it_PPH1 was_VBDZ plenty_RR good_JJ enough_RR and_CC you_PPY	were_VBDR sitting_VVG	there_RL yeah_UH and_CC that_DD1 's_VBZ how_RRQ bloody_RR trusting_VVG they_PPHS2 are_VBR yeah_UH cos_CS you_PPY 've_VH0 got_VVN a_AT1 bar_NN1 full_JJ of_IO full_JJ		Discussing, explaining, inquiring	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	2:00:00	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Upsetting people, pensions, computers, family, housing developments, staying in bed and breakfasts	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=16	321935	321936
18	S2ZU	it you know but you had a nice naked swim I had a nice naked swim yeah and then you	were sitting	like I got to the I got to the the beach ex- you exposed yourself and I suddenly realised I	it_PPH1 you_PPY know_VV0 but_CCB you_PPY had_VHD a_AT1 nice_JJ naked_JJ swim_NN1 I_PPIS1 had_VHD a_AT1 nice_JJ naked_JJ swim_NN1 yeah_UH and_CC then_RT you_PPY	were_VBDR sitting_VVG	like_II I_PPIS1 got_VVD to_II the_AT I_PPIS1 got_VVD to_II the_AT the_AT beach_NN1 ex-_FU you_PPY exposed_VVD yourself_PPX1 and_CC I_PPIS1 suddenly_RR realised_VVD I_PPIS1	3 friends chat to pass the time on a train from London to Margate	discussing, explaining, inquiring, announcing, anecdote telling, making arrangements	Revised	Texts within Sample release	S0326 S0327 S0445	3	2015-07-14	1:53:17	At ANON's home in North London	2015 Q3	2015	Close family, partners, very close friends	politics, house decoration, university, exams, summer plans, travel, family, Scotland, plans for the future, animals, gardens, birds	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=17	416477	416478
19	S33N	holding a fucking microphone oh dear oh I do n't know I was just trying to read her sign she	was standing	at the end of the on the basically on by the road holding a sign I know I thought she	holding_VVG a_AT1 fucking_JJ microphone_NN1 oh_UH dear_UH oh_UH I_PPIS1 do_VD0 n't_XX know_VVI I_PPIS1 was_VBDZ just_RR trying_VVG to_TO read_VVI her_APPGE sign_NN1 she_PPHS1	was_VBDZ standing_VVG	at_II the_AT end_NN1 of_IO the_AT on_II the_AT basically_RR on_RP by_II the_AT road_NN1 holding_VVG a_AT1 sign_NN1 I_PPIS1 know_VV0 I_PPIS1 thought_VVD she_PPHS1	Couple take a walk and have a chat in the countryside.	Discussing, explaining	Original	Texts within Sample release	S0024 S0144	2	2012-03-11	0:15:43	The countryside, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Hills, villages, countryside	T20	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=18	470660	470661
20	S346	there you go this is it some shoes I 've got at home I 've got them bloody new shoes	are sitting	there for you I 've got sixes which fit me fine and I 've got fives that fit me fine	there_RL you_PPY go_VV0 this_DD1 is_VBZ it_PPH1 some_DD shoes_NN2 I_PPIS1 've_VH0 got_VVN at_II home_NN1 I_PPIS1 've_VH0 got_VVN them_PPHO2 bloody_RR new_JJ shoes_NN2	are_VBR sitting_VVG	there_RL for_IF you_PPY I_PPIS1 've_VH0 got_VVN sixes_MC2 which_DDQ fit_VV0 me_PPIO1 fine_JJ and_CC I_PPIS1 've_VH0 got_VVN fives_MC2 that_CST fit_VV0 me_PPIO1 fine_JJ	Chatting with close friend while online shopping.	Discussing, explaining, inquiring, advising, requesting, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0255 S0319	2	2014-10-01	0:56:08	ANON's home	2014 Q4	2014	Close family, partners, very close friends	Women’s clothes/shoes/boots sizing and styles, wearing glasses, spam phone calls, perfume, Internet problems, recent night out, Decoupage, online shopping. 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=19	481178	481179
21	S35U	car are you alright ? where the drivers are going mm fine yeah like that all the way round I	'm sitting	directly facing the sun cos it 's not stable oh God yeah well I I do n't like to look	car_NN1 are_VBR you_PPY alright_JJ ?_YQUE where_CS the_AT drivers_NN2 are_VBR going_VVG mm_UH fine_JJ yeah_UH like_RR that_DD1 all_DB the_AT way_NN1 round_RP I_PPIS1	'm_VBM sitting_VVG	directly_RR facing_VVG the_AT sun_NN1 cos_CS it_PPH1 's_VBZ not_XX stable_JJ oh_UH God_NP1 yeah_UH well_RR I_PPIS1 I_PPIS1 do_VD0 n't_XX like_VVI to_TO look_VVI	Family chatting in the garden, eating dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0038 S0083 S0084 S0086	4	2012-03-24	1:32:43	ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=20	519550	519551
22	S35U	right they 've never learnt any songs together but they all know what to do yeah mm and I 'd	be standing	there like um but it 's entertaining mm um I guess he had a sort of an upbringing like mine	right_RR they_PPHS2 've_VH0 never_RR learnt_VVN any_DD songs_NN2 together_RL but_CCB they_PPHS2 all_DB know_VV0 what_DDQ to_TO do_VDI yeah_UH mm_UH and_CC I_PPIS1 'd_VM	be_VBI standing_VVG	there_RL like_RR um_UH but_CCB it_PPH1 's_VBZ entertaining_JJ mm_UH um_UH I_PPIS1 guess_VV0 he_PPHS1 had_VHD a_AT1 sort_NN1 of_IO an_AT1 upbringing_NN1 like_II mine_PPGE	Family chatting in the garden, eating dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0038 S0083 S0084 S0086	4	2012-03-24	1:32:43	ANON’s home, Cambridge	2012 Q1	2012	Close family, partners, very close friends		T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=21	526091	526092
23	S37E	well it was n't thankfully but you know the smoking no but it was it was terrible yeah and you	were sitting	there eating your breakfast thinking yeah you 've only ever been in the --ANONplace but it was well it was	well_RR it_PPH1 was_VBDZ n't_XX thankfully_RR but_CCB you_PPY know_VV0 the_AT smoking_NN1 no_UH but_CCB it_PPH1 was_VBDZ it_PPH1 was_VBDZ terrible_JJ yeah_UH and_CC you_PPY	were_VBDR sitting_VVG	there_RL eating_VVG your_APPGE breakfast_NN1 thinking_NN1 yeah_UH you_PPY 've_VH0 only_RR ever_RR been_VBN in_II the_AT --ANONplace_NP1 but_CCB it_PPH1 was_VBDZ well_JJ it_PPH1 was_VBDZ	Family catch-up on the way to the train station 	Discussing, explaining, inquiring, complaining, advising, inviting, announcing,  anecdote telling, making arrangements	Revised	Texts within Sample release	S0439 S0440 S0481	3	2015-09-12	0:20:53	car	2015 Q3	2015	Close family, partners, very close friends	Local area, organizing plans to London, history, housing, money, pubs, holidays. 	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=22	546639	546640
24	S382	this world for single people no there 's not even sitting on a bus people look at you if you	're sitting	all alone and they 're like if they sit down and wan na take up more seats because there 's	this_DD1 world_NN1 for_IF single_JJ people_NN no_UH there_EX 's_VBZ not_XX even_RR sitting_VVG on_II a_AT1 bus_NN1 people_NN look_VV0 at_II you_PPY if_CS you_PPY	're_VBR sitting_VVG	all_DB alone_JJ and_CC they_PPHS2 're_VBR like_RR if_CS they_PPHS2 sit_VV0 down_RP and_CC wan_VV0 na_TO take_VVI up_RP more_DAR seats_NN2 because_CS there_EX 's_VBZ	Catch-up with housemate	discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0439 S0441	2	2015-10-12	1:20:03	Home- Kitchen	2015 Q4	2015	Close family, partners, very close friends	Food, weekend, work, English counties and places, Halloween parties, future 5-year plans.  	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=23	580446	580447
25	S382	ridiculous is n't it ? it 's really bizarre and th- where there 's there 's the one where you	're standing	up with a wide stance and you lean forward and you put your forehead on the floor yeah that 's	ridiculous_JJ is_VBZ n't_XX it_PPH1 ?_YQUE it_PPH1 's_VBZ really_RR bizarre_JJ and_CC th-_FU where_RRQ there_EX 's_VBZ there_EX 's_VBZ the_AT one_PN1 where_RRQ you_PPY	're_VBR standing_VVG	up_RP with_IW a_AT1 wide_JJ stance_NN1 and_CC you_PPY lean_VV0 forward_RL and_CC you_PPY put_VV0 your_APPGE forehead_NN1 on_II the_AT floor_NN1 yeah_UH that_DD1 's_VBZ	Catch-up with housemate	discussing, explaining, inquiring, complaining, advising, announcing, anecdote telling, making arrangements, telling jokes	Revised	Texts not in Sample release	S0439 S0441	2	2015-10-12	1:20:03	Home- Kitchen	2015 Q4	2015	Close family, partners, very close friends	Food, weekend, work, English counties and places, Halloween parties, future 5-year plans.  	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=24	583041	583042
26	S38V	n't my brov not phoned me today it was really strange maybe they want you give them a call he	's sitting	at home sulking why cos you 're out there ? yeah no not cos I 'm out there just cos	n't_XX my_APPGE brov_NN1 not_XX phoned_VVN me_PPIO1 today_RT it_PPH1 was_VBDZ really_RR strange_JJ maybe_RR they_PPHS2 want_VV0 you_PPY give_VV0 them_PPHO2 a_AT1 call_NN1 he_PPHS1	's_VBZ sitting_VVG	at_II home_NN1 sulking_VVG why_RRQ cos_CS you_PPY 're_VBR out_RP there_RL ?_YQUE yeah_UH no_UH not_XX cos_CS I_PPIS1 'm_VBM out_RP there_RL just_RR cos_CS	First day in the new apartment	Discussing, inquiring, complaining, advising, requesting, announcing, making arrangements	Revised	Texts not in Sample release	S0192 S0198	2	2014-08-28	2:00:48	In my new flat, Sussex	2014 Q3	2014	Close family, partners, very close friends	Smoking cigarettes, moving apartments, future plans, university, family, inventory, music, extended family, marriage, living in South Korea, friends, ELT methodology, language, cooking, alcohol, making arrangements, driving, travelling.  	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=25	634021	634022
