Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Additional Title(s)	Alternative Title(s)	ID numbers (STC)	Century	Century Status	Decade	Decade Status	Half Century	Half Century Status	ID numbers (marc, bibno)	Keyword Terms	Author(s)	Rough-draft genre (experimental, incomplete)	Notes	Publication Place(s)	Publisher(s)	Quarter Century	Quarter Century Status	BIBNO tag(s)	STC tag(s)	VID tag(s)	Title	Year	Year Status	URL	Match-begin corpus position	Match-end corpus position
135	A09299	all their might and power in oppugning us for this cause is spent in vain . For although the cause	<<< be stood >>>	unto by weak and sinful men , if respect be had to that which we are in ourselves , I	all_DB their_APPGE might_NN1 and_CC power_NN1 in_II oppugning_VVG us_PPIO2 for_IF this_DD1 cause_NN1 is_VBZ spent_VVN in_RR21 vain_RR22 ._YSTP For_IF although_CS the_AT cause_NN1	<<< be_VBI stood_VVN >>>	unto_II by_II weak_JJ and_CC sinful_JJ men_NN2 ,_YCOM if_CS respect_NN1 be_VBI had_VHN to_II that_DD1 which_DDQ we_PPIS2 are_VBR in_II ourselves_PPX2 ,_YCOM I_PPIS1	_NO_TITLES_LISTED_	Treatise wherein is manifestlie proved, that reformation and those that sincerely favor the same, are unjustly charged to be enemies, unto hir Majestie, and the state | Treatise wherein is manifestlie proved, that reformation and those that sincerely favor the same, are unjustly charged to be enemies, unto hir Majestie, and the state. | Reformation no enemie to Hir Maiestie and the state. | Reformation no enemie to Hir Majestie and the state.	STC (2nd ed.) 19612.	1500_1599	CERTAIN	1590_1599	CERTAIN	1550_1599	CERTAIN	99857138	Church of England -- Controversial literature -- Puritan authors -- Early works to 1800.	Penry, John, 1559-1593.	TREATISE	By John Penry, whose name appears on [A]2r. | Printer's name from STC. | Signatures: [A]4 [par.]2 B-H4 I2. | Running title reads: Reformation no enemie to Hir Maiestie and the state. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	Edinburgh	Printed by Robert Waldegrave	1575_1599	CERTAIN	umi: 99857138	S: 19612	22816	A treatise vvherein is manifestlie proued, that reformation and those that sincerely fauor the same, are vnjustly charged to be enemies, vnto hir Maiestie, and the state. Written both for the clearing of those that stande in that cause: and the stopping of the sclaunderous mouthes of all the enemies thereof.	1590	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=134	169067585	169067586
136	A09300	which is not timerously to be dealt in , but in the fear of God , with all boldness to	<<< be stood >>>	to , and avouched . And whenever they or any of theirs , shall but adventure their places against my	which_DDQ is_VBZ not_XX timerously_RR to_TO be_VBI dealt_VVN in_RP ,_YCOM but_CCB in_II the_AT fear_NN1 of_IO God_NP1 ,_YCOM with_IW all_DB boldness_NN1 to_TO	<<< be_VBI stood_VVN >>>	to_II ,_YCOM and_CC avouched_VVN ._YSTP And_CC whenever_RRQV they_PPHS2 or_CC any_DD of_IO theirs_PPGE ,_YCOM shall_VM but_CCB adventure_VV0 their_APPGE places_NN2 against_II my_APPGE	_NO_TITLES_LISTED_	Viewe of some part of such publike wants &amp; disorders as are in the service of God, within her Majesties countrie of Wales | Viewe of some part of such publike wants &amp; disorders as are in the service of God, within her Majesties countrie of Wales. | Supplication vnto the high Court of Parliament. | Supplication unto the high Court of Parliament.	STC (2nd ed.) 19613.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99849619	Church of England -- Controversial literature -- Puritan authors -- Early works to 1800. | Wales -- Church history -- Early works to 1800.	Penry, John, 1559-1593.	PETITIONS_AND_REQUESTS	Signed at end: Iohn Penri. | Imprint from STC. | Running title reads: A supplication vnto the high Court of Parliament. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	Coventry	Printed by Robert Waldegrav	1575_1599	CERTAIN	umi: 99849619	S: 19613	14778	A viewe of some part of such publike wants &amp; disorders as are in the seruice of God, within her Maiesties countrie of VVales togither vvith an humble petition, vnto this high Court of Parliament for their speedy redresse. Wherein is shevved, not only the necessitie of reforming the state of religion among that people, but also the onely way, in regarde of substaunce, to bring that reformation to passe.	1589	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=135	169099924	169099925
137	A09339	of life and humility . And Christ will not have them to be despised . A duty very needful to	<<< be stood >>>	upon in these times . For now a days if a man carry but a show of humility , of	of_IO life_NN1 and_CC humility_NN1 ._YSTP And_CC Christ_NP1 will_VM not_XX have_VHI them_PPHO2 to_TO be_VBI despised_VVN ._YSTP A_AT1 duty_NN1 very_RG needful_JJ to_TO	<<< be_VBI stood_VVN >>>	upon_II in_II these_DD2 times_NNT2 ._YSTP For_IF now_RT a_AT1 days_NNT2 if_CS a_AT1 man_NN1 carry_VV0 but_CCB a_AT1 show_NN1 of_IO humility_NN1 ,_YCOM of_IO	_NO_TITLES_LISTED_	Selections | Exposition of the Symbole or Creede of the Apostles. | Exposition of the Lords prayer. | Treatise tending vnto a declaration, whether a man be in the estate of damnation, or in the estate of grace. | Case of conscience. | Direction for the gouernment of the tongue. | Two treatises. | Salue for a sicke man. | Declaration of the true manner of knovving Christ crucified. | Discourse of conscience. | Reformed Catholike. | Foundation of Christian religion. | Graine of musterd-seede. | Treatise tending unto a declaration, whether a man be in the estate of damnation, or in the estate of grace. | Direction for the government of the tongue. | Salve for a sicke man. | Declaration of the true manner of knowing Christ crucified. | Description of theologie.	STC (2nd ed.) 19646.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99849683	Theology, Doctrinal -- Early works to 1800. | Salvation -- Early works to 1800. | Predestination -- Early works to 1800.	Perkins, William, 1558-1602. | Bèze, Théodore de, 1519-1605.	DECLARATIONS	&quot;To the Christian reader&quot; signed: W.P., i.e. William Perkins. | &quot;An exposition of the Symbole or Creede of the Apostles&quot;, &quot;An exposition of the Lords prayer .. Printed for Iohn Porter, and Ralph Iackson. ..&quot;, &quot;A treatise tending vnto a declaration, whether a man be in the estate of damnation, or in the estate of grace .. Printed for I.P. and I.L. ..&quot;, &quot;A case of conscience .. Printed for Thomas Man, and Iohn Porter. ..&quot;, &quot;A direction for the gouernment of the tongue&quot;, &quot;Two treatises&quot;, &quot;A salue for a sicke man&quot;, &quot;A declaration of the true manner of knovving Christ crucified,&quot; &quot;A discourse of conscience&quot;, &quot;A reformed Catholike&quot;, &quot;The foundation of Christian religion .. Printed for I.L. and I.P. ..&quot;, and &quot;A graine of musterd-seede .. Printed for Ralph Iackson. ..&quot; each has separate dated title page; pagination and register are continuous. | Includes index. | 3K8 is cancelled.	Cambridge	Printed by Iohn Legat, printer to the Vniuersitie of Cambridg	1600_1624	CERTAIN	umi: 99849683	S: 19646	14845	A golden chaine: or The description of theologie containing the order of the causes of saluation and damnation, according to Gods word. A view whereof is to be seene in the table annexed. Hereunto is adioyned the order which M. Theodore Beza vsed in comforting afflicted consciences.	1600	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=136	170132419	170132420
138	A09383	Commentaries , being so contrary to himself . ) This I confess is a light matter , and not to	<<< be stood >>>	upon , were it not , that some are too hasty to swallow whatsoever comes in their way , under	Commentaries_NN2 ,_YCOM being_VBG so_RR contrary_II21 to_II22 himself_PPX1 ._YSTP )_YBR This_DD1 I_PPIS1 confess_VV0 is_VBZ a_AT1 light_JJ matter_NN1 ,_YCOM and_CC not_XX to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM were_VBDR it_PPH1 not_XX ,_YCOM that_CST some_DD are_VBR too_RG hasty_JJ to_TO swallow_VVI whatsoever_DDQV comes_VVZ in_II their_APPGE way_NN1 ,_YCOM under_II	_NO_TITLES_LISTED_	Commentarie or exposition, upon the five first chapters of the Epistle to the Galatians | Commentarie or exposition, upon the five first chapters of the Epistle to the Galatians. | Commentarie vpon the Epistle to the Galatians. | Commentarie upon the Epistle to the Galatians. | Supplement or continuation of the commentarie vpon the sixt chapter. | Supplement or continuation of the commentarie upon the sixt chapter.	STC (2nd ed.) 19680.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99849690	Bible. -- N.T. -- Galatians -- Commentaries -- Early works to 1800.	Perkins, William, 1558-1602. | Cudworth, Ralph, 1617-1688.	RELIGION_EPISTLES	The first leaf is blank except for signature-mark &quot;[par.]&quot; (hand-stamped?); the last leaf is blank. | Running title reads: A commentarie vpon the Epistle to the Galatians. | &quot;A supplement or continuation of the commentarie vpon the sixt chapter&quot; has separate dated title page; pagination and register are continuous. | P. 457 misnumbered 475. | Includes index. | Reproduction of the original in Cambridge University Library.	Cambridge	Printed by Iohn Legat, printer to the Vniuersitie of Cambridg	1600_1624	CERTAIN	umi: 99849690	S: 19680	14852	A commentarie or exposition, vpon the fiue first chapters of the Epistle to the Galatians: penned by the godly, learned, and iudiciall diuine, Mr. W. Perkins. Now published for the benefit of the Church, and continued with a supplement vpon the sixt chapter, by Rafe Cudworth Bachelour of Diuinitie.	1604	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=137	171745343	171745344
139	A09383	by the Latin church , as might be proved by manifold testimonies , if it were a thing necessary to	<<< be stood >>>	upon . Nevertheless , howsoeur this inscription can not be defended , yet it may be excused , and tolerated	by_II the_AT Latin_JJ church_NN1 ,_YCOM as_CSA might_VM be_VBI proved_VVN by_II manifold_JJ testimonies_NN2 ,_YCOM if_CS it_PPH1 were_VBDR a_AT1 thing_NN1 necessary_JJ to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP Nevertheless_RR ,_YCOM howsoeur_NN1 this_DD1 inscription_NN1 can_VM not_XX be_VBI defended_VVN ,_YCOM yet_RR it_PPH1 may_VM be_VBI excused_VVN ,_YCOM and_CC tolerated_VVN	_NO_TITLES_LISTED_	Commentarie or exposition, upon the five first chapters of the Epistle to the Galatians | Commentarie or exposition, upon the five first chapters of the Epistle to the Galatians. | Commentarie vpon the Epistle to the Galatians. | Commentarie upon the Epistle to the Galatians. | Supplement or continuation of the commentarie vpon the sixt chapter. | Supplement or continuation of the commentarie upon the sixt chapter.	STC (2nd ed.) 19680.	1600_1699	CERTAIN	1600_1609	CERTAIN	1600_1649	CERTAIN	99849690	Bible. -- N.T. -- Galatians -- Commentaries -- Early works to 1800.	Perkins, William, 1558-1602. | Cudworth, Ralph, 1617-1688.	RELIGION_EPISTLES	The first leaf is blank except for signature-mark &quot;[par.]&quot; (hand-stamped?); the last leaf is blank. | Running title reads: A commentarie vpon the Epistle to the Galatians. | &quot;A supplement or continuation of the commentarie vpon the sixt chapter&quot; has separate dated title page; pagination and register are continuous. | P. 457 misnumbered 475. | Includes index. | Reproduction of the original in Cambridge University Library.	Cambridge	Printed by Iohn Legat, printer to the Vniuersitie of Cambridg	1600_1624	CERTAIN	umi: 99849690	S: 19680	14852	A commentarie or exposition, vpon the fiue first chapters of the Epistle to the Galatians: penned by the godly, learned, and iudiciall diuine, Mr. W. Perkins. Now published for the benefit of the Church, and continued with a supplement vpon the sixt chapter, by Rafe Cudworth Bachelour of Diuinitie.	1604	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=138	171771983	171771984
140	A09411	of life and humility . And Christ will not have them to be despised . A duty very needful to	<<< be stood >>>	upon in these times . For now adays if a man carry but a show of humility , of good	of_IO life_NN1 and_CC humility_NN1 ._YSTP And_CC Christ_NP1 will_VM not_XX have_VHI them_PPHO2 to_TO be_VBI despised_VVN ._YSTP A_AT1 duty_NN1 very_RG needful_JJ to_TO	<<< be_VBI stood_VVN >>>	upon_II in_II these_DD2 times_NNT2 ._YSTP For_IF now_RT adays_NN2 if_CS a_AT1 man_NN1 carry_VV0 but_CCB a_AT1 show_NN1 of_IO humility_NN1 ,_YCOM of_IO good_JJ	_NO_TITLES_LISTED_	Exposition of the Creede.	STC (2nd ed.) 19703.	1500_1599	CERTAIN	1590_1599	CERTAIN	1550_1599	CERTAIN	99855849	Apostles' Creed -- Early works to 1800.	Perkins, William, 1558-1602.	RELIGION_GENERAL	Bookseller's name from STC. | Running title reads: An exposition of the Creede. | With a final errata leaf. | Reproduction of the original in the Henry E. Huntington Library and Art Gallery.	Cambridge	Printed by Iohn Legatt, printer to the Vniuersitie of Cambridge. 1595. And are to be solde [by R. Bankworth] at the signe of the Sunne in Pauls Church-yard in Londo	1575_1599	CERTAIN	umi: 99855849	S: 19703	21355	An exposition of the Symbole or Creed of the Apostles according to the tenour of the Scriptures, and the consent of orthodoxe Fathers of the Church. By William Perkins.	1595	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=139	172115403	172115404
141	A09741	, because we are not borne for our selves but for an other . For indeed it were something to	<<< be stood >>>	upon , if we must have had this relation to some oter Creature like our selves stinted and limited in	,_YCOM because_CS we_PPIS2 are_VBR not_XX borne_VVN for_IF our_APPGE selves_NN2 but_CCB for_IF an_AT1 other_JJ ._YSTP For_IF indeed_RR it_PPH1 were_VBDR something_PN1 to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM if_CS we_PPIS2 must_VM have_VHI had_VHN this_DD1 relation_NN1 to_II some_DD oter_JJR Creature_NN1 like_II our_APPGE selves_NN2 stinted_VVD and_CC limited_VVN in_II	_NO_TITLES_LISTED_	De bono status religiosi. English | De bono status religiosi.	STC (2nd ed.) 20001.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99850010	Monastic and religious life -- Early works to 1800ent.	Piatti, Girolamo, 1545-1591. | More, Henry, 1586-1661,	RELIGION_GENERAL	A translation by Henry More of: De bono status religiosi. | Printer's name from STC. | Reproduction of the original in the British Library.	Rouen	Printed by J. Cousturier] Permissu superioru	1625_1649	CERTAIN	umi: 99850010	S: 20001	15193	The happines of a religious state diuided into three bookes. Written in Latin by Fa. Hierome Platus of the Societie of Iesus. And now translated into English.	1632	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=140	177702438	177702439
142	A09741	of the pleasures of the body . or at least , that these are the principal , and most to	<<< be stood >>>	upon . A persuasion befitting rather beasts then men . For they speak and pass their judgment of things ,	of_IO the_AT pleasures_NN2 of_IO the_AT body_NN1 ._YSTP or_CC at_RR21 least_RR22 ,_YCOM that_CST these_DD2 are_VBR the_AT principal_NN1 ,_YCOM and_CC most_RRT to_TO	<<< be_VBI stood_VVN >>>	upon_II ._YSTP A_AT1 persuasion_NN1 befitting_VVG rather_RR beasts_NN2 then_RT men_NN2 ._YSTP For_CS they_PPHS2 speak_VV0 and_CC pass_VV0 their_APPGE judgment_NN1 of_IO things_NN2 ,_YCOM	_NO_TITLES_LISTED_	De bono status religiosi. English | De bono status religiosi.	STC (2nd ed.) 20001.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99850010	Monastic and religious life -- Early works to 1800ent.	Piatti, Girolamo, 1545-1591. | More, Henry, 1586-1661,	RELIGION_GENERAL	A translation by Henry More of: De bono status religiosi. | Printer's name from STC. | Reproduction of the original in the British Library.	Rouen	Printed by J. Cousturier] Permissu superioru	1625_1649	CERTAIN	umi: 99850010	S: 20001	15193	The happines of a religious state diuided into three bookes. Written in Latin by Fa. Hierome Platus of the Societie of Iesus. And now translated into English.	1632	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=141	177986587	177986588
143	A09741	say the truth , it is but a foolish and impertinent kind of grief . For which is more to	<<< be stood >>>	upon , the sanctity of a Sule , or Posteriie ? And what good is there in posteitie ? If	say_VVI the_AT truth_NN1 ,_YCOM it_PPH1 is_VBZ but_CCB a_AT1 foolish_JJ and_CC impertinent_JJ kind_NN1 of_IO grief_NN1 ._YSTP For_IF which_DDQ is_VBZ more_DAR to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM the_AT sanctity_NN1 of_IO a_AT1 Sule_NN1 ,_YCOM or_CC Posteriie_NP1 ?_YQUE And_CC what_DDQ good_JJ is_VBZ there_RL in_II posteitie_NN1 ?_YQUE If_CS	_NO_TITLES_LISTED_	De bono status religiosi. English | De bono status religiosi.	STC (2nd ed.) 20001.	1600_1699	CERTAIN	1630_1639	CERTAIN	1600_1649	CERTAIN	99850010	Monastic and religious life -- Early works to 1800ent.	Piatti, Girolamo, 1545-1591. | More, Henry, 1586-1661,	RELIGION_GENERAL	A translation by Henry More of: De bono status religiosi. | Printer's name from STC. | Reproduction of the original in the British Library.	Rouen	Printed by J. Cousturier] Permissu superioru	1625_1649	CERTAIN	umi: 99850010	S: 20001	15193	The happines of a religious state diuided into three bookes. Written in Latin by Fa. Hierome Platus of the Societie of Iesus. And now translated into English.	1632	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=142	178068916	178068917
144	A09744	else telling or counting this or that sum of money , or divers other ways misled & sduced . This	<<< is sat >>>	&#x101; s subtlety , to be then most busy in tempting of us when we are most busy in praying	else_RR telling_VVG or_CC counting_VVG this_DD1 or_CC that_DD1 sum_NN1 of_IO money_NN1 ,_YCOM or_CC divers_JJ other_JJ ways_NN2 misled_VVN &_CC sduced_VVD ._YSTP This_DD1	<<< is_VBZ sat_VVN >>>	&#x101;_NULL s_ZZ1 subtlety_NN1 ,_YCOM to_TO be_VBI then_JJ most_RGT busy_JJ in_II tempting_JJ of_IO us_PPIO2 when_RRQ we_PPIS2 are_VBR most_RGT busy_JJ in_II praying_VVG	The path-way to perfection. | Heart's delight. | The power of praier. | The sick-mans couch.	Sermons | Whole sermons. | Path-vvay to perfection. | Povver of praier. | Nine sermons. | Whole sermons of that eloquent divine, of famous memory; Thomas Playfere, Doctor in Divinitie.	STC (2nd ed.) 20003.	1600_1699	CERTAIN	1620_1629	CERTAIN	1600_1649	CERTAIN	99840776	Sermons, English -- 17th century.	Playfere, Thomas, 1561?-1609. | Playfere, Thomas, 1561?-1609. | Playfere, Thomas, 1561?-1609. | Playfere, Thomas, 1561?-1609. | Playfere, Thomas, 1561?-1609.	SERMONS	A collection of 14 sermons. &quot;The pathvvay to perfection&quot; (London, 1623), &quot;Heart's delight&quot; (London, 1617), &quot;The povver of praier&quot; (London, 1617), &quot;The  sick-mans couch&quot; (London, 1617), and &quot;Nine Sermons&quot; (London, 1621) each have a separate title page and pagination; register is continuous. | Printer's name from STC. | Print faded and show-through. | Reproduction of the original in the British Library.	London	Printed by T[homas] S[nodham] for Matthew Law, and are to be sold at his shop in Pauls Churchyard, at the signe of the Rose, neere Saint Augustines Gat	1600_1624	CERTAIN	umi: 99840776	S: 20003	5306	The vvhole sermons of that eloquent diuine, of famous memory; Thomas Playfere, Doctor in Diuinitie. Gathered into one vollume, the titles thereof are named in the next page.	1623	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=143	178210320	178210321
145	A09865	primo the first ( or chief ) loco place accumbe sit unto discumbe sit down . Conuuae the guests accuburunt	<<< are sat >>>	( or have sit down . ) Puer boy conscra hallow ( or consecrate ) menfam the table . Puer	primo_NN1 the_AT first_MD (_YBL or_CC chief_NN1 )_YBR loco_NN1 place_NN1 accumbe_NN1 sit_VV0 unto_II discumbe_NN1 sit_VV0 down_RP ._YSTP Conuuae_NN2 the_AT guests_NN2 accuburunt_VV0	<<< are_VBR sat_VVN >>>	(_YBL or_CC have_VH0 sit_VV0 down_RP ._YSTP )_YBR Puer_JJR boy_NN1 conscra_NN1 hallow_NN1 (_YBL or_CC consecrate_NN1 )_YBR menfam_VV0 the_AT table_NN1 ._YSTP Puer_VV0	_NO_TITLES_LISTED_	Oikeåon dialogåon biblion hellåenisti kai Råomaisti. English | Oikeåon dialogåon biblion hellåenisti kai Råomaisti. | Dialogues containing all the most usefull words of the Latine tongue.	STC (2nd ed.) 20129.	1600_1699	CERTAIN	1620_1629	CERTAIN	1600_1649	CERTAIN	99836695	Latin language -- Conversation and phrase books -- Early works to 1800.	Posselius, Johannes, 1565-1623. | Reeve, Edmund, d. 1660,	SPEECHES	A translation, by Edmund Reeve, of Oikeåon dialogåon biblion hellåenisti kai Råomaisti, published in 1622 (STC 20128.3). | Pages 28,29 and 30 misnumbered 29-28 and 22; 31-38 missing in number only. | Publisher's name from STC. | Reproduction of the original in the Bodleian Library.	London	Printed by Edward Allde, and are to be sold by [Edmund Reeve at] Christ-Church greater South door	1600_1624	CERTAIN	umi: 99836695	S: 20129	980	Dialogues containing all the most vsefull vvords of the Latine tongue. And a Latine oration concerning the way of learning, and teaching the Latine and Greeke tongues. Written by Iohn Posselius. And word for word for the most part construed out of Latine into English.	1623	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=144	184169468	184169469
146	A09876	question , and other controversies concerning the same ? The thing rather , that in my mind is more to	<<< be stood >>>	upon , is this : namely , to see : what should be the cause why , that notwithstanding that	question_NN1 ,_YCOM and_CC other_JJ controversies_NN2 concerning_II the_AT same_DA ?_YQUE The_AT thing_NN1 rather_RR ,_YCOM that_CST in_II my_APPGE mind_NN1 is_VBZ more_DAR to_TO	<<< be_VBI stood_VVN >>>	upon_II ,_YCOM is_VBZ this_DD1 :_YCOL namely_REX ,_YCOM to_TO see_VVI :_YCOL what_DDQ should_VM be_VBI the_AT cause_NN1 why_RRQ ,_YCOM that_CST notwithstanding_II that_DD1	_NO_TITLES_LISTED_	De veris et visibilibus Ecclesiae Catholicae notis. English | De veris et visibilibus Ecclesiae Catholicae notis.	STC (2nd ed.) 2014.	1500_1599	UNCERTAIN	1580_1589	UNCERTAIN	1550_1599	UNCERTAIN	99837369	Catholic Church -- Controversial literature.	Bèze, Théodore de, 1519-1605. | T. W. 1549?-1608,	ESSAY_ARGUMENTATIVE	Translator's dedication signed: T.W., i.e. Thomas Wilcox. | Translation of: De veris et visibilibus Ecclesiae Catholicae notis. | Publication date conjectured by STC. | Signatures: [pi] A-G H4 (-[pi]1). | At least gathering A outer forme is in two settings: page A1r, line 5 ends: (1) &quot;beeyng&quot; or (2) &quot;beeing&quot;. | Reproduction of the original in the British Library.	London	Printed by Robert Walde-graue, dwelling without Temple-bar, in the Strond, neere vnto Sommerset-hous	1575_1599	UNCERTAIN	umi: 99837369	S: 2014 | C: S101560	1688	A discourse, of the true and visible markes of the Catholique Churche vvritten by M. Theod. Beza. Vezelius.	1582	UNCERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=145	184248785	184248786
147	A09998	whole Chapter , Joh . 17. and elsewhere . But now that he hath led captivity captive : Ephes. 4.8.	<<< being sat >>>	at the right hand of the father crowned with glory and honour : Heb. 2.9. it is true indeed ,	whole_JJ Chapter_NN1 ,_YCOM Joh_NP1 ._YSTP 17._MC and_CC elsewhere_RL ._YSTP But_CCB now_CS21 that_CS22 he_PPHS1 hath_VHZ led_VVN captivity_NN1 captive_NN1 :_YCOL Ephes._NP1 4.8._MC	<<< being_VBG sat_VVN >>>	at_II the_AT right_JJ hand_NN1 of_IO the_AT father_NN1 crowned_VVN with_IW glory_NN1 and_CC honour_VV0 :_YCOL Heb._NP1 2.9._MC it_PPH1 is_VBZ true_JJ indeed_RR ,_YCOM	_NO_TITLES_LISTED_	Sermons sur les trois premiers chapitres du Cantique des cantiques. English | Sermons sur les trois premiers chapitres du Cantique des cantiques. | Master Bezaes sermons upon the three chapters of the canticle of canticles.	STC (2nd ed.) 2025. | Madan, I, p. 22.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837556	Bible. -- O.T. -- Song of Solomon, I-III -- Commentaries.	Bèze, Théodore de, 1519-1605. | Harmar, John, 1555?-1613,	SERMONS	Translation by John Harmar of: Bèze, Théodore de. Sermons sur les trois premiers chapitres du Cantique des cantiques. | Bookseller's name from STC. | Reproduction of the original in the the Henry E. Huntingtion Library and Art Gallery.	Oxford	Printed by Ioseph Barnes, and are to be sould [in London by T. Cooke] in Pauls Church-yard at the Tygers Hea	1575_1599	CERTAIN	umi: 99837556	S: 2025	1883	Master Bezaes sermons vpon the three chapters of the canticle of canticles wherein are handled the chiefest points of religion controversed and debated betweene vs and the aduersarie at this day, especially touching the true Iesus Christ and the true Church, and the certaine &amp; infallible marks both of the one and of the other. Translated out of French into English by Iohn Harmar ...	1587	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=146	186190643	186190644
148	A09998	follows in the first Chapter of the Canticle of Canticles , the 12.13. and 14. verses . 12 The King	<<< being sat >>>	at his round table , my Spikenard gives his smell . 13 My wellbeloved is unto me as a bundle	follows_VVZ in_II the_AT first_MD Chapter_NN1 of_IO the_AT Canticle_NN1 of_IO Canticles_NN2 ,_YCOM the_AT 12.13._MC and_CC 14._MC verses_NN2 ._YSTP 12_MC The_AT King_NN1	<<< being_VBG sat_VVN >>>	at_II his_APPGE round_JJ table_NN1 ,_YCOM my_APPGE Spikenard_NN1 gives_VVZ his_APPGE smell_NN1 ._YSTP 13_MC My_APPGE wellbeloved_JJ is_VBZ unto_II me_PPIO1 as_II a_AT1 bundle_NN1	_NO_TITLES_LISTED_	Sermons sur les trois premiers chapitres du Cantique des cantiques. English | Sermons sur les trois premiers chapitres du Cantique des cantiques. | Master Bezaes sermons upon the three chapters of the canticle of canticles.	STC (2nd ed.) 2025. | Madan, I, p. 22.	1500_1599	CERTAIN	1580_1589	CERTAIN	1550_1599	CERTAIN	99837556	Bible. -- O.T. -- Song of Solomon, I-III -- Commentaries.	Bèze, Théodore de, 1519-1605. | Harmar, John, 1555?-1613,	SERMONS	Translation by John Harmar of: Bèze, Théodore de. Sermons sur les trois premiers chapitres du Cantique des cantiques. | Bookseller's name from STC. | Reproduction of the original in the the Henry E. Huntingtion Library and Art Gallery.	Oxford	Printed by Ioseph Barnes, and are to be sould [in London by T. Cooke] in Pauls Church-yard at the Tygers Hea	1575_1599	CERTAIN	umi: 99837556	S: 2025	1883	Master Bezaes sermons vpon the three chapters of the canticle of canticles wherein are handled the chiefest points of religion controversed and debated betweene vs and the aduersarie at this day, especially touching the true Iesus Christ and the true Church, and the certaine &amp; infallible marks both of the one and of the other. Translated out of French into English by Iohn Harmar ...	1587	CERTAIN	https://cqpweb.lancs.ac.uk/eebov3/context.php?qid=006421&batch=147	186216889	186216890
