Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
12	S3U3	minutes late for him hardly any length of time and he was n't the last to be collected and he	's standing	there we had about three or four children left and er he was just waiting with them nothing special and	minutes_NNT2 late_JJ for_IF him_PPHO1 hardly_RR any_DD length_NN1 of_IO time_NNT1 and_CC he_PPHS1 was_VBDZ n't_XX the_AT last_MD to_TO be_VBI collected_VVN and_CC he_PPHS1	's_VBZ standing_VVG	there_RL we_PPIS2 had_VHD about_RG three_MC or_CC four_MC children_NN2 left_VVN and_CC er_UH he_PPHS1 was_VBDZ just_RR waiting_VVG with_IW them_PPHO2 nothing_PN1 special_JJ and_CC	Grandmother’s visit	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0390 S0391 S0392 S0393	4	2015-03-27	1:00:54	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	recent week, coffee shops, education, injury solicitors, TV, weather/climate, paganism, magazines,  photography, technology, accents, politics, books, de-cluttering, boats, religion, other people, music, ceilidh, copyright, short-stories, psychology, plans for the week ahead, computers, recycling, telephones, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=11	872132	872133
13	S3YZ	you had the day off ? I was going to and then I you changed your mine yeah well I	was sat	all day typical woman I get this I get this funny feeling my chest sometimes so I was sat at	you_PPY had_VHD the_AT day_NNT1 off_RP ?_YQUE I_PPIS1 was_VBDZ going_VVG to_II and_CC then_RT I_PPIS1 you_PPY changed_VVD your_APPGE mine_NN1 yeah_UH well_RR I_PPIS1	was_VBDZ sat_VVN	all_DB day_NNT1 typical_JJ woman_NN1 I_PPIS1 get_VV0 this_DD1 I_PPIS1 get_VV0 this_DD1 funny_JJ feeling_VVG my_APPGE chest_NN1 sometimes_RT so_CS I_PPIS1 was_VBDZ sat_VVN at_II	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=12	884678	884679
14	S3YZ	I was sat all day typical woman I get this I get this funny feeling my chest sometimes so I	was sat	at work and when I hear people cos the gyms right next to work I hear people on the treadmill	I_PPIS1 was_VBDZ sat_VVN all_DB day_NNT1 typical_JJ woman_NN1 I_PPIS1 get_VV0 this_DD1 I_PPIS1 get_VV0 this_DD1 funny_JJ feeling_VVG my_APPGE chest_NN1 sometimes_RT so_CS I_PPIS1	was_VBDZ sat_VVN	at_II work_NN1 and_CC when_CS I_PPIS1 hear_VV0 people_NN cos_CS the_AT gyms_NN2 right_RR next_II21 to_II22 work_NN1 I_PPIS1 hear_VV0 people_NN on_II the_AT treadmill_NN1	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=13	884697	884698
15	S3YZ	? yeah it was good but the thing is I 'm alright not eating through the day but when I	'm sat	then I want to eat more so if I have a small one of these then I wo n't feel	?_YQUE yeah_UH it_PPH1 was_VBDZ good_JJ but_CCB the_AT thing_NN1 is_VBZ I_PPIS1 'm_VBM alright_JJ not_XX eating_VVG through_II the_AT day_NNT1 but_CCB when_CS I_PPIS1	'm_VBM sat_VVN	then_RT I_PPIS1 want_VV0 to_TO eat_VVI more_RGR so_RR if_CS I_PPIS1 have_VH0 a_AT1 small_JJ one_PN1 of_IO these_DD2 then_RT I_PPIS1 wo_VM n't_XX feel_VVI	Friends cooking and eating dinner, chatting, watching a movie	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements 	Original	Texts within Sample release	S0041 S0046 S0086 S0169	4	2012-04-18	1:37:19	ANON’s home, Cambridge	2012 Q2	2012	Friends, wider family circle		T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=14	888409	888410
16	S4BA	behind the che- the behind the chairs on the beach ? u- with a towel wrapped round him and he	was sat	right next to me said shush they 're coming do n't tell anyone they were playing football and everything though	behind_II the_AT che-_FU the_AT behind_II the_AT chairs_NN2 on_II the_AT beach_NN1 ?_YQUE u-_FU with_IW a_AT1 towel_NN1 wrapped_VVN round_II him_PPHO1 and_CC he_PPHS1	was_VBDZ sat_VVN	right_RR next_II21 to_II22 me_PPIO1 said_VVD shush_UH they_PPHS2 're_VBR coming_VVG do_VD0 n't_XX tell_VVI anyone_PN1 they_PPHS2 were_VBDR playing_VVG football_NN1 and_CC everything_PN1 though_RR	Family talking over a meal on Boxing Day	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0547 S0548 S0549 S0550 S0551 S0552 S0553	7	2015-12-26	0:29:29	The home of ANON, ANON, ANON, ANON and ANON, High Lane, Stockport.	2015 Q4	2015	Close family, partners, very close friends	Pulling crackers, cracker jokes, food, working in a chip shop, where the plates and dishes have come from, what our extended family did Christmas day, the relations between our extended family and their nephew ANON, where ANON will live, sayings, ANON's next year at university, ANON's house at university, a game from the night before, taste and flavor, butter, childhood food, grandad’s travels, cameras, cars.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=15	991203	991204
17	S4BA	? she said yeah excuse me but someone had told us they also put the recirculate I said if you	're sitting	breathing out yeah moisture it 's not going to s- recircuit mm or any fresh air coming in mm mine	?_YQUE she_PPHS1 said_VVD yeah_UH excuse_VV0 me_PPIO1 but_CCB someone_PN1 had_VHD told_VVN us_PPIO2 they_PPHS2 also_RR put_VV0 the_AT recirculate_NN1 I_PPIS1 said_VVD if_CS you_PPY	're_VBR sitting_VVG	breathing_VVG out_RP yeah_UH moisture_NN1 it_PPH1 's_VBZ not_XX going_VVG to_II s-_FU recircuit_NN1 mm_UH or_CC any_DD fresh_JJ air_NN1 coming_VVG in_RP mm_UH mine_PPGE	Family talking over a meal on Boxing Day	Discussing, explaining, inquiring, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0547 S0548 S0549 S0550 S0551 S0552 S0553	7	2015-12-26	0:29:29	The home of ANON, ANON, ANON, ANON and ANON, High Lane, Stockport.	2015 Q4	2015	Close family, partners, very close friends	Pulling crackers, cracker jokes, food, working in a chip shop, where the plates and dishes have come from, what our extended family did Christmas day, the relations between our extended family and their nephew ANON, where ANON will live, sayings, ANON's next year at university, ANON's house at university, a game from the night before, taste and flavor, butter, childhood food, grandad’s travels, cameras, cars.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=16	994421	994422
18	S4JC	mm oh is that the one from er erm Sainsbury 's ? I think it 's the one --ANONnameM has	been sitting	on and he 's broken it now no you can bugger right off cos I 've never sat there no	mm_UH oh_UH is_VBZ that_DD1 the_AT one_PN1 from_II er_UH erm_UH Sainsbury_NP1 's_GE ?_YQUE I_PPIS1 think_VV0 it_PPH1 's_VBZ the_AT one_MC1 --ANONnameM_NP1 has_VHZ	been_VBN sitting_VVG	on_RP and_CC he_PPHS1 's_VHZ broken_VVN it_PPH1 now_RT no_UH you_PPY can_VM bugger_VVI right_RR off_RP cos_CS I_PPIS1 've_VH0 never_RR sat_VVN there_RL no_UH	Family talking over the starter of Christmas dinner.	Discussing, Explaining, Inquiring, complaining, anecdote telling, telling jokes	Revised	Texts not in Sample release	S0547 S0548 S0549 S0550 S0551	5	2015-12-25	0:15:25	Home of ANON to ANON, High Lane, Stockport.	2015 Q4	2015	Close family, partners, very close friends	The tumble dryer, mum dropping her underpants style napkin, Daniel O’Donnel, seeing Caroline Aherne as Mrs Merton, the broken chair, ANON the hairdresser and her baby, Mum’s top, Christmas card from next door, the neighbours across the road, Christmas day traffic, pulling crackers, presents in crackers, napkins in the style of underpants, cracker jokes, ANON playing with the cracker toy – mini skittles, opening table presents, ANON's uni friend ANON, ANON's starter, warmth of plates.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=17	1026525	1026526
19	S4QF	was eating stuff was n't he ? he ea- he he ate the candles he ate the furniture oh he	's sitting	look he ate socks and getting trained right they 've got him on a lead now he does n't like	was_VBDZ eating_VVG stuff_NN1 was_VBDZ n't_XX he_PPHS1 ?_YQUE he_PPHS1 ea-_FU he_PPHS1 he_PPHS1 ate_VVD the_AT candles_NN2 he_PPHS1 ate_VVD the_AT furniture_NN1 oh_UH he_PPHS1	's_VBZ sitting_VVG	look_VV0 he_PPHS1 ate_VVD socks_NN2 and_CC getting_VVG trained_VVN right_RR they_PPHS2 've_VH0 got_VVN him_PPHO1 on_II a_AT1 lead_NN1 now_RT he_PPHS1 does_VDZ n't_XX like_VVI	Grandparents visit	Discussing, explaining, inquiring, anecdote telling, making arrangements, telling jokes	Revised	Texts within Sample release	S0251 S0252 S0368 S0369	4	2015-02-14	1:58:42	Sitting Room, Malton	2015 Q1	2015	Close family, partners, very close friends	Household matters	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=18	1109273	1109274
20	S4QK	like mm like at twenty-two years old like like this is what we were doing yeah and that and I	was sat	there and my tummy was just making really fucking weird noises and stuff so oh wait go up a sec	like_RR mm_UH like_RR at_II twenty-two_MC years_NNT2 old_JJ like_RR like_RR this_DD1 is_VBZ what_DDQ we_PPIS2 were_VBDR doing_VDG yeah_UH and_CC that_DD1 and_CC I_PPIS1	was_VBDZ sat_VVN	there_RL and_CC my_APPGE tummy_NN1 was_VBDZ just_RR making_VVG really_RR fucking_JJ weird_JJ noises_NN2 and_CC stuff_NN1 so_RR oh_UH wait_VV0 go_VV0 up_RP a_AT1 sec_NNU	Talking in the Bedroom	Discussing, explaining, enquiring,complaining, advising, requesting, announcing,  anecdote telling, telling jokes	Revised	Texts not in Sample release	S0245 S0246	2	2015-08-27	1:00:03	Bedroom, Egremont, Cumbria	2015 Q3	2015	Close family, partners, very close friends	Online Shopping, Technology, Work, Television	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=19	1111965	1111966
21	S4XR	kawa biala tak and the same --FOREIGNWORD tak tak and yeah erm yeah and we were me and my dad	were stood	on a bridge once and a boat went past er in somewhere and it was like a barge with loads	kawa_NN1 biala_NN1 tak_NN1 and_CC the_AT same_DA --FOREIGNWORD_FW tak_VV0 tak_NN1 and_CC yeah_UH erm_UH yeah_UH and_CC we_PPIS2 were_VBDR me_PPIO1 and_CC my_APPGE dad_NN1	were_VBDR stood_VVN	on_II a_AT1 bridge_NN1 once_RR and_CC a_AT1 boat_NN1 went_VVD past_RL er_UH in_II somewhere_RL and_CC it_PPH1 was_VBDZ like_II a_AT1 barge_NN1 with_IW loads_NN2	Two friends talking about various topics (see 9 above) over coffee, in an hotel in Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	0:21:31	Hotel in Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Communications with strangers, travel plans & arrangements, ‘the rat race’ & employment ambitions, happiness.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=20	1187864	1187865
22	S4XR	the beach after work yeah yeah it 's a job like any job mm erm and sometimes you know you	're sat	in your room watching Iplayer wondering if it 's all worth it when you 're so far from your family	the_AT beach_NN1 after_II work_NN1 yeah_UH yeah_UH it_PPH1 's_VBZ a_AT1 job_NN1 like_II any_DD job_NN1 mm_UH erm_UH and_CC sometimes_RT you_PPY know_VV0 you_PPY	're_VBR sat_VVN	in_II your_APPGE room_NN1 watching_VVG Iplayer_NP1 wondering_VVG if_CS it_PPH1 's_VBZ all_DB worth_II it_PPH1 when_CS you_PPY 're_VBR so_RG far_RR from_II your_APPGE family_NN1	Two friends talking about various topics (see 9 above) over coffee, in an hotel in Rzeszow, Poland.	Discussing	Revised	Texts not in Sample release	S0618 S0619	2	2016-01-19	0:21:31	Hotel in Rzeszow, Poland.	2016 Q1	2016	Friends, wider family circle	Communications with strangers, travel plans & arrangements, ‘the rat race’ & employment ambitions, happiness.	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=21	1190895	1190896
23	S5AA	'm just gon na say to them look I did n't take it on holiday with me so it 's	been sat	there 's something wrong with the speaker the home button is n't like right and there 's no way that	'm_VBM just_RR gon_VVGK na_TO say_VVI to_II them_PPHO2 look_VV0 I_PPIS1 did_VDD n't_XX take_VVI it_PPH1 on_II holiday_NN1 with_IW me_PPIO1 so_RR it_PPH1 's_VHZ	been_VBN sat_VVN	there_EX 's_VBZ something_PN1 wrong_JJ with_IW the_AT speaker_NN1 the_AT home_NN1 button_NN1 is_VBZ n't_XX like_RR right_JJ and_CC there_EX 's_VBZ no_AT way_NN1 that_CST	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining	Revised	Texts within Sample release	S0202 S0208	2	2014-09-04	0:07:14	France	2014 Q3	2014	Close family, partners, very close friends	Sex, boys, uni, work, new house	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=22	1318668	1318669
24	S5AA	I did n't end up taking it on holiday with me I 've left it at home so it 's	been sat	in a box at home the whole time I 've not even touched it I 'll just say it must	I_PPIS1 did_VDD n't_XX end_VVI up_RP taking_VVG it_PPH1 on_II holiday_NN1 with_IW me_PPIO1 I_PPIS1 've_VH0 left_VVN it_PPH1 at_II home_NN1 so_RR it_PPH1 's_VHZ	been_VBN sat_VVN	in_II a_AT1 box_NN1 at_II home_NN1 the_AT whole_JJ time_NNT1 I_PPIS1 've_VH0 not_XX even_RR touched_VVN it_PPH1 I_PPIS1 'll_VM just_RR say_VVI it_PPH1 must_VM	Friends chatting about general stuff	Discussing, explaining, inquiring, complaining	Revised	Texts within Sample release	S0202 S0208	2	2014-09-04	0:07:14	France	2014 Q3	2014	Close family, partners, very close friends	Sex, boys, uni, work, new house	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=23	1318863	1318864
