Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Decade	Text genre	Text source	Year	URL	Matchbegin corpus position	Matchend corpus position
11	BB_Bm89_693	giants leg and free Thor , but even together their strength was not equal to the task . While they	<<< were stood >>>	about considering how to move the giant , Thor 's young three-year-old son Magni appeared . He took the giants	giants_NN2 leg_NN1 and_CC free_JJ Thor_NP1 ,_YCOM but_CCB even_RR together_RL their_APPGE strength_NN1 was_VBDZ not_XX equal_JJ to_II the_AT task_NN1 ._YSTP While_CS they_PPHS2	<<< were_VBDR stood_VVN >>>	about_II considering_VVG how_RRQ to_TO move_VVI the_AT giant_NN1 ,_YCOM Thor_NP1 's_GE young_JJ three-year-old_JJ son_NN1 Magni_NN1 appeared_VVD ._YSTP He_PPHS1 took_VVD the_AT giants_NN2	UK	1980s	book	The Gods of Asgard	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=10	9320739	9320740
12	BB_cF87__42	elected to stretch out on . She sank into a chair to read the letter in peace , only to	<<< be sat >>>	on in her turn by a solid furry cushion purring ecstatically and marking time vigorously with extended claws . Her	elected_VVN to_TO stretch_VVI out_RP on_II ._YSTP She_PPHS1 sank_VVD into_II a_AT1 chair_NN1 to_TO read_VVI the_AT letter_NN1 in_II peace_NN1 ,_YCOM only_RR to_TO	<<< be_VBI sat_VVN >>>	on_RP in_II her_APPGE turn_NN1 by_II a_AT1 solid_JJ furry_JJ cushion_NN1 purring_VVG ecstatically_RR and_CC marking_VVG time_NNT1 vigorously_RR with_IW extended_JJ claws_NN2 ._YSTP Her_APPGE	UK	1980s	book	Murky Shallows	1987	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=11	10399333	10399334
13	BB_cF87__52	be empty . Many latecomers sat alone on these occasions , as well as antisocial altruists and people who 'd	<<< been stood >>>	up . Unfortunately , a youngish man and woman were already established there . ` Forgive me for intruding ,	be_VBI empty_JJ ._YSTP Many_DA2 latecomers_NN2 sat_VVD alone_RR on_II these_DD2 occasions_NN2 ,_YCOM as_II31 well_II32 as_II33 antisocial_JJ altruists_NN2 and_CC people_NN who_PNQS 'd_VHD	<<< been_VBN stood_VVN >>>	up_RP ._YSTP Unfortunately_RR ,_YCOM a_AT1 youngish_JJ man_NN1 and_CC woman_NN1 were_VBDR already_RR established_VVN there_RL ._YSTP `_YQUO Forgive_VV0 me_PPIO1 for_IF intruding_VVG ,_YCOM	UK	1980s	book	Miss Melville Regrets	1987	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=12	10686174	10686175
14	BB_cM85__16	called his office . Daisy , shared secretary , told him that Mr Cameron had not been best pleased to	<<< be stood >>>	up at El Vino , had judged from available evidence that no work would be done that afternoon , and	called_VVD his_APPGE office_NN1 ._YSTP Daisy_NP1 ,_YCOM shared_JJ secretary_NN1 ,_YCOM told_VVD him_PPHO1 that_CST Mr_NNB Cameron_NP1 had_VHD not_XX been_VBN best_RRT pleased_JJ to_TO	<<< be_VBI stood_VVN >>>	up_RP at_II El_NP1 Vino_NP1 ,_YCOM had_VHD judged_VVN from_II available_JJ evidence_NN1 that_CST no_AT work_NN1 would_VM be_VBI done_VDN that_DD1 afternoon_NNT1 ,_YCOM and_CC	UK	1980s	book	Loaded Questions	1985	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=13	12039274	12039275
15	BB_cM85__20	he had taken some young woman under his protection . Snakeweed had been one of them . Ricarda Mommsen had	<<< been stood >>>	up by Wayne Larner , so he had thought it a good idea to recruit her as an ally in	he_PPHS1 had_VHD taken_VVN some_DD young_JJ woman_NN1 under_II his_APPGE protection_NN1 ._YSTP Snakeweed_NP1 had_VHD been_VBN one_MC1 of_IO them_PPHO2 ._YSTP Ricarda_NP1 Mommsen_NP1 had_VHD	<<< been_VBN stood_VVN >>>	up_RP by_II Wayne_NP1 Larner_NP1 ,_YCOM so_CS he_PPHS1 had_VHD thought_VVN it_PPH1 a_AT1 good_JJ idea_NN1 to_TO recruit_VVI her_PPHO1 as_II an_AT1 ally_NN1 in_II	UK	1980s	book	Passion in the Peak	1985	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=14	12249148	12249149
16	BB_cM93_919	clerk some satisfaction . ` The lady 's a bit put out , " he said . ` She 's	<<< been sat >>>	there for nearly an hour . " He accepted the money with a nod of thanks . ` I was	clerk_NN1 some_DD satisfaction_NN1 ._YSTP `_YQUO The_AT lady_NN1 's_VBZ a_RR21 bit_RR22 put_VVN out_RP ,_YCOM "_YQUO he_PPHS1 said_VVD ._YSTP `_YQUO She_PPHS1 's_VHZ	<<< been_VBN sat_VVN >>>	there_RL for_IF nearly_RR an_AT1 hour_NNT1 ._YSTP "_YQUO He_PPHS1 accepted_VVD the_AT money_NN1 with_IW a_AT1 nod_NN1 of_IO thanks_NN2 ._YSTP `_YQUO I_PPIS1 was_VBDZ	UK	1990s	book	Stage Fright	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=15	13932876	13932877
17	BB__F022026	'Yes , but it 's okay for me - I 'm single . I deserve him . Also I 've	<<< been sat >>>	talking to a drain all night whilst you try and break the world giggling record . ' 'So you 'd	'Yes_NN2 ,_YCOM but_CCB it_PPH1 's_VBZ okay_JJ for_IF me_PPIO1 -_YDSH I_PPIS1 'm_VBM single_JJ ._YSTP I_PPIS1 deserve_VV0 him_PPHO1 ._YSTP Also_RR I_PPIS1 've_VH0	<<< been_VBN sat_VVN >>>	talking_VVG to_II a_AT1 drain_NN1 all_DB night_NNT1 whilst_CS you_PPY try_VV0 and_CC break_VV0 the_AT world_NN1 giggling_VVG record_NN1 ._YSTP '_YQUO 'So_NN1 you_PPY 'd_VM	UK	2000s	book	LOOKING FOR ANDREW McCARTHY	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=16	15225393	15225394
18	BB__F022248	ring her bell . Then if Mrs Peters comes over , suddenly she do n't need nothing . Mrs Peters	<<< is stood >>>	there , waiting , and suddenly Sheila do n't have a problem . But if he comes over it 's	ring_VVI her_APPGE bell_NN1 ._YSTP Then_RT if_CS Mrs_NNB Peters_NP1 comes_VVZ over_RP ,_YCOM suddenly_RR she_PPHS1 do_VD0 n't_XX need_VVI nothing_PN1 ._YSTP Mrs_NNB Peters_NP1	<<< is_VBZ stood_VVN >>>	there_RL ,_YCOM waiting_VVG ,_YCOM and_CC suddenly_RR Sheila_NP1 do_VD0 n't_XX have_VHI a_AT1 problem_NN1 ._YSTP But_CCB if_CS he_PPHS1 comes_VVZ over_II it_PPH1 's_VBZ	UK	2000s	book	LOSING IT	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=17	15811529	15811530
19	BB__F022248	through my checkout . Denisha told me the day he came in and gave Brenda that card for me he	<<< was stood >>>	outside the front of the store looking in for about half an hour . He 'd been in earlier as	through_II my_APPGE checkout_NN1 ._YSTP Denisha_NP1 told_VVD me_PPIO1 the_AT day_NNT1 he_PPHS1 came_VVD in_RP and_CC gave_VVD Brenda_NP1 that_DD1 card_NN1 for_IF me_PPIO1 he_PPHS1	<<< was_VBDZ stood_VVN >>>	outside_II the_AT front_NN1 of_IO the_AT store_NN1 looking_VVG in_RP for_IF about_RG half_DB an_AT1 hour_NNT1 ._YSTP He_PPHS1 'd_VHD been_VBN in_II earlier_JJR as_RR21	UK	2000s	book	LOSING IT	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=18	15859529	15859530
20	BB__F022248	; it 's good being back in the same old place 'cos I can feel the difference from when I	<<< was sat >>>	there just feeling depressed and wondering when I 'd be able to put a sweetie in my mouth without Warren	;_YSCOL it_PPH1 's_VBZ good_JJ being_VBG back_RP in_II the_AT same_DA old_JJ place_NN1 'cos_CS I_PPIS1 can_VM feel_VVI the_AT difference_NN1 from_II when_RRQ I_PPIS1	<<< was_VBDZ sat_VVN >>>	there_RL just_RR feeling_VVG depressed_JJ and_CC wondering_VVG when_RRQ I_PPIS1 'd_VM be_VBI able_JK to_TO put_VVI a_AT1 sweetie_NN1 in_II my_APPGE mouth_NN1 without_IW Warren_NP1	UK	2000s	book	LOSING IT	2002	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=19	15907791	15907792
21	BB__F89_296	Bell 's dynamite . Why has he been passed over for senior bishoprics ? Because over and over again he	<<< 's stood >>>	up in the House of Lords to hammer away at the government and in consequence even though he 's no	Bell_NP1 's_GE dynamite_NN1 ._YSTP Why_RRQ has_VHZ he_PPHS1 been_VBN passed_VVN over_RP for_IF senior_JJ bishoprics_NN2 ?_YQUE Because_CS over_RP and_CC over_RP again_RT he_PPHS1	<<< 's_VBZ stood_VVN >>>	up_RP in_II the_AT House_NN1 of_IO Lords_NP to_TO hammer_VVI away_RL at_II the_AT government_NN1 and_CC in_II consequence_NN1 even_CS21 though_CS22 he_PPHS1 's_VBZ no_AT	UK	1980s	book	Ultimate Prizes	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=20	16401353	16401354
22	BB__F951341	small room . He found it gloomy , not surprisingly . He spoke through the intercom and summoned whoever it	<<< was sat >>>	there : they changed with the years . Now he followed Jelly . ` We 've nowhere near finished the	small_JJ room_NN1 ._YSTP He_PPHS1 found_VVD it_PPH1 gloomy_JJ ,_YCOM not_XX surprisingly_RR ._YSTP He_PPHS1 spoke_VVD through_II the_AT intercom_NN1 and_CC summoned_VVD whoever_PNQV it_PPH1	<<< was_VBDZ sat_VVN >>>	there_RL :_YCOL they_PPHS2 changed_VVD with_IW the_AT years_NNT2 ._YSTP Now_RT he_PPHS1 followed_VVD Jelly_NN1 ._YSTP `_YQUO We_PPIS2 've_VH0 nowhere_RL near_RL finished_VVN the_AT	UK	1990s	book	Splitting	1995	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=21	17175313	17175314
23	BB_fF93_906	of grass grew scant and pale round black rocks , sticking up through thin soil . What few trees there	<<< were stood >>>	twisted and sickly . Enj hunkered down and dug his fingers deep into the soil , then held up a	of_IO grass_NN1 grew_VVD scant_JJ and_CC pale_JJ round_JJ black_JJ rocks_NN2 ,_YCOM sticking_VVG up_RP through_II thin_JJ soil_NN1 ._YSTP What_DDQ few_DA2 trees_NN2 there_EX	<<< were_VBDR stood_VVN >>>	twisted_JJ and_CC sickly_JJ ._YSTP Enj_NP1 hunkered_VVD down_RP and_CC dug_VVD his_APPGE fingers_NN2 deep_RR into_II the_AT soil_NN1 ,_YCOM then_RT held_VVD up_RP a_AT1	UK	1990s	book	A Time of War	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=22	18619290	18619291
24	BB_fM042804	But let the lads play ! No need to worry about Shelob for a bit , I reckon . She	<<< 's sat >>>	on a nail , it seems , and we sha n't cry about that . Did n't you see :	But_CCB let_VV0 the_AT lads_NN2 play_VVI !_YEX No_AT need_NN1 to_TO worry_VVI about_II Shelob_NP1 for_IF a_RR21 bit_RR22 ,_YCOM I_PPIS1 reckon_VV0 ._YSTP She_PPHS1	<<< 's_VBZ sat_VVN >>>	on_II a_AT1 nail_NN1 ,_YCOM it_PPH1 seems_VVZ ,_YCOM and_CC we_PPIS2 sha_VM n't_XX cry_VVI about_II that_DD1 ._YSTP Did_VDD n't_XX you_PPY see_VVI :_YCOL	UK	2000s	book	THE LORD OF THE RINGS	2004	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=23	20027907	20027908
25	BB_Fm89_726	. ` At first I enjoyed the thrill of flying but I soon became dogged by a recurring dream of	<<< being sat >>>	in the right-hand seat attempting to pilot the aircraft with my boss sat next to me , unconscious . The	._YSTP `_YQUO At_RR21 first_RR22 I_PPIS1 enjoyed_VVD the_AT thrill_NN1 of_IO flying_JJ but_CCB I_PPIS1 soon_RR became_VVD dogged_VVN by_II a_AT1 recurring_JJ dream_NN1 of_IO	<<< being_VBG sat_VVN >>>	in_II the_AT right-hand_JJ seat_NN1 attempting_VVG to_TO pilot_VVI the_AT aircraft_NN with_IW my_APPGE boss_NN1 sat_VVD next_II21 to_II22 me_PPIO1 ,_YCOM unconscious_JJ ._YSTP The_AT	UK	1980s	book	Visions of the Future - an investigation of premonitions	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=24	20922340	20922341
26	BB_Fm89_726	. The children were playing nicely in the sandpit until Peter and Ben decided to climb the steps . We	<<< were sat >>>	pouring orange when it all went quiet . ` I stood up and asked where Ben was . I walked	._YSTP The_AT children_NN2 were_VBDR playing_VVG nicely_RR in_II the_AT sandpit_NN1 until_CS Peter_NP1 and_CC Ben_NP1 decided_VVD to_TO climb_VVI the_AT steps_NN2 ._YSTP We_PPIS2	<<< were_VBDR sat_VVN >>>	pouring_JJ orange_NN1 when_CS it_PPH1 all_DB went_VVD quiet_JJ ._YSTP `_YQUO I_PPIS1 stood_VVD up_RP and_CC asked_VVD where_RRQ Ben_NP1 was_VBDZ ._YSTP I_PPIS1 walked_VVD	UK	1980s	book	Visions of the Future - an investigation of premonitions	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=25	20923803	20923804
27	BB_Fm89_726	the matter . I told him that two massive aircraft had crashed , but not in the sky . I	<<< was stood >>>	almost underneath one of the planes and people were screaming at me to help them . I knew it was	the_AT matter_NN1 ._YSTP I_PPIS1 told_VVD him_PPHO1 that_CST two_MC massive_JJ aircraft_NN had_VHD crashed_VVN ,_YCOM but_CCB not_XX in_II the_AT sky_NN1 ._YSTP I_PPIS1	<<< was_VBDZ stood_VVN >>>	almost_RR underneath_II one_MC1 of_IO the_AT planes_NN2 and_CC people_NN were_VBDR screaming_VVG at_II me_PPIO1 to_TO help_VVI them_PPHO2 ._YSTP I_PPIS1 knew_VVD it_PPH1 was_VBDZ	UK	1980s	book	Visions of the Future - an investigation of premonitions	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=26	20924638	20924639
28	BB_Fm89_726	a bayonet . 2 . Rating : 7 . ` I had a vivid dream . Ron ( Roland )	<<< was sat >>>	at an old table reading a newspaper as if he had just picked it up . The headline was `	a_AT1 bayonet_NN1 ._YSTP 2_MC ._YSTP Rating_NN1 :_YCOL 7_MC ._YSTP `_YQUO I_PPIS1 had_VHD a_AT1 vivid_JJ dream_NN1 ._YSTP Ron_NP1 (_YBL Roland_NP1 )_YBR	<<< was_VBDZ sat_VVN >>>	at_II an_AT1 old_JJ table_NN1 reading_VVG a_AT1 newspaper_NN1 as_CS21 if_CS22 he_PPHS1 had_VHD just_RR picked_VVN it_PPH1 up_RP ._YSTP The_AT headline_NN1 was_VBDZ `_YQUO	UK	1980s	book	Visions of the Future - an investigation of premonitions	1989	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=27	20936677	20936678
29	BB_gM931153	remarked Gloria , ` if you had , if you had them pillars on your own house , you could	<<< be sat >>>	out there in the coolness . ' Janice retorted , ` Bess Cable was saying ` t would be a	remarked_VVD Gloria_NP1 ,_YCOM `_YQUO if_CS you_PPY had_VHD ,_YCOM if_CS you_PPY had_VHD them_PPHO2 pillars_NN2 on_II your_APPGE own_DA house_NN1 ,_YCOM you_PPY could_VM	<<< be_VBI sat_VVN >>>	out_RP there_RL in_II the_AT coolness_NN1 ._YSTP '_YQUO Janice_NP1 retorted_VVD ,_YCOM `_YQUO Bess_NP1 Cable_NN1 was_VBDZ saying_VVG `_YQUO t_PPH1 would_VM be_VBI a_AT1	UK	1990s	book	Telling the Pictures	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=28	24481315	24481316
30	BB_hM931130	off , and my stockinged feet , crossed at the ankles , were resting on an adjacent chair . Karen	<<< was sat >>>	next to me , sipping a Coke ; her eyes wide . Mike was next to the door , where	off_RP ,_YCOM and_CC my_APPGE stockinged_JJ feet_NN2 ,_YCOM crossed_VVN at_II the_AT ankles_NN2 ,_YCOM were_VBDR resting_VVG on_II an_AT1 adjacent_JJ chair_NN1 ._YSTP Karen_NP1	<<< was_VBDZ sat_VVN >>>	next_II21 to_II22 me_PPIO1 ,_YCOM sipping_VVG a_AT1 Coke_NN1 ;_YSCOL her_APPGE eyes_NN2 wide_JJ ._YSTP Mike_NP1 was_VBDZ next_II21 to_II22 the_AT door_NN1 ,_YCOM where_CS	UK	1990s	book	Night Sisters	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=29	25285615	25285616
31	BB_iF931154	had been at some book launch party in the upstairs restaurant and he was out of sorts because he had	<<< been stood >>>	up by a woman . In a way Richard was relieved about that . He could do without stray females	had_VHD been_VBN at_II some_DD book_NN1 launch_NN1 party_NN1 in_II the_AT upstairs_NN1 restaurant_NN1 and_CC he_PPHS1 was_VBDZ out_II21 of_II22 sorts_NN2 because_CS he_PPHS1 had_VHD	<<< been_VBN stood_VVN >>>	up_RP by_II a_AT1 woman_NN1 ._YSTP In_II a_AT1 way_NN1 Richard_NP1 was_VBDZ relieved_VVN about_II that_DD1 ._YSTP He_PPHS1 could_VM do_VDI without_IW stray_JJ females_NN2	UK	1990s	book	Yellow Bird	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=30	26158841	26158842
32	BB_iM86_114	can leave me alone . Clarence is okay , the little I know of him by the few times he	<<< 's sat >>>	in my office drinking coffee and smoking and picking my brain for the real estate values that I think he	can_VM leave_VVI me_PPIO1 alone_JJ ._YSTP Clarence_NP1 is_VBZ okay_JJ ,_YCOM the_AT little_JJ I_PPIS1 know_VV0 of_IO him_PPHO1 by_II the_AT few_DA2 times_NNT2 he_PPHS1	<<< 's_VBZ sat_VVN >>>	in_II my_APPGE office_NN1 drinking_NN1 coffee_NN1 and_CC smoking_JJ and_CC picking_VVG my_APPGE brain_NN1 for_IF the_AT real_JJ estate_NN1 values_NN2 that_CST I_PPIS1 think_VV0 he_PPHS1	UK	1980s	book	Dansville	1986	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=31	26951738	26951739
33	BB_jM931221	own . Wide Mountain Mother had already figured that out . North of the Place of Power , a certain	<<< being sat >>>	upon a crag and considered themes of life and death , legend and history , good and evil . Beneath	own_DA ._YSTP Wide_NP1 Mountain_NNL1 Mother_NN1 had_VHD already_RR figured_VVN that_DD1 out_RP ._YSTP North_ND1 of_IO the_AT Place_NN1 of_IO Power_NN1 ,_YCOM a_AT1 certain_JJ	<<< being_VBG sat_VVN >>>	upon_II a_AT1 crag_NN1 and_CC considered_VVN themes_NN2 of_IO life_NN1 and_CC death_NN1 ,_YCOM legend_NN1 and_CC history_NN1 ,_YCOM good_JJ and_CC evil_NN1 ._YSTP Beneath_RL	UK	1990s	book	A Plague of Angels	1993	https://cqpweb.bham.ac.uk/bankofenglish/context.php?qname=gum33613iky&batch=32	27438729	27438730
