Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
13	SDQG	wants it to be cheaper than a cab so he 's got ta drive home really fast imagine if you	were sitting	in a traffic jam it 'd cost you thirty P a minute drive people mental that 'll be well good	wants_VVZ it_PPH1 to_TO be_VBI cheaper_JJR than_CSN a_AT1 cab_NN1 so_CS he_PPHS1 's_VHZ got_VVN ta_TO drive_VVI home_RL really_RR fast_RR imagine_VV0 if_CS you_PPY	were_VBDR sitting_VVG	in_II a_AT1 traffic_NN1 jam_VV0 it_PPH1 'd_VM cost_VVI you_PPY thirty_MC P_ZZ1 a_AT1 minute_NNT1 drive_NN1 people_NN mental_JJ that_DD1 'll_VM be_VBI well_RR good_JJ	Mother and son talking in the car while doing an errand 	discussing, explaining, inquiring, announcing, anecdote telling	Revised	Texts not in Sample release	S0326 S0329	2	2015-07-08	1:01:48	In the car driving to North London from East London	2015 Q3	2015	Close family, partners, very close friends	Cars, family, TLS, digital Vs print, traffic, road rage, work, France, presents, driving	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=12	4655118	4655119
14	SECU	my phone I 'll talk to you alright then yes I agree you 're right --ANONnameM but also if I	'm sitting	there I 'm just bored you know ? oh I 'm frightfully sorry that you 're bored and now it	my_APPGE phone_NN1 I_PPIS1 'll_VM talk_VVI to_II you_PPY alright_RR then_RT yes_UH I_PPIS1 agree_VV0 you_PPY 're_VBR right_JJ --ANONnameM_NP1 but_CCB also_RR if_CS I_PPIS1	'm_VBM sitting_VVG	there_RL I_PPIS1 'm_VBM just_RR bored_JJ you_PPY know_VV0 ?_YQUE oh_UH I_PPIS1 'm_VBM frightfully_RR sorry_JJ that_CST you_PPY 're_VBR bored_JJ and_CC now_RT it_PPH1	Mother and son talking over dinner at home	Discussing, explaining, inquiring, announcing, anecdote telling	Revised	Texts within Sample release	S0326 S0329	2	2015-03-22	0:43:04	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	fried chicken, a break in Mersea Island, Essex, sea food, fishing, family, gyms exercise, washing 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=13	4865003	4865004
15	SFER	guess but anyway so you 're waiting for that the red light 's flashing right ? and these other peoples	are stood	around Tesco staff are stood there doing nothing yeah yeah mm while you wait for the one who is meant	guess_NN1 but_CCB anyway_RR so_CS you_PPY 're_VBR waiting_VVG for_IF that_DD1 the_AT red_JJ light_NN1 's_VBZ flashing_VVG right_RR ?_YQUE and_CC these_DD2 other_JJ peoples_NN2	are_VBR stood_VVN	around_II Tesco_NP1 staff_NN are_VBR stood_VVN there_RL doing_VDG nothing_PN1 yeah_UH yeah_UH mm_UH while_CS you_PPY wait_VV0 for_IF the_AT one_PN1 who_PNQS is_VBZ meant_VVN	General chat	Discussing, explaining, inviting	Revised	Texts not in Sample release	S0012 S0013 S0278 S0370	4	2015-02-14	1:14:51	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Relations, mistresses, party, shopping, life without power, Big Brother, dogs, church, heating.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=14	5196195	5196196
16	SFER	're waiting for that the red light 's flashing right ? and these other peoples are stood around Tesco staff	are stood	there doing nothing yeah yeah mm while you wait for the one who is meant to be doing who has	're_VBR waiting_VVG for_IF that_DD1 the_AT red_JJ light_NN1 's_VBZ flashing_VVG right_RR ?_YQUE and_CC these_DD2 other_JJ peoples_NN2 are_VBR stood_VVN around_II Tesco_NP1 staff_NN	are_VBR stood_VVN	there_RL doing_VDG nothing_PN1 yeah_UH yeah_UH mm_UH while_CS you_PPY wait_VV0 for_IF the_AT one_PN1 who_PNQS is_VBZ meant_VVN to_TO be_VBI doing_VDG who_PNQS has_VHZ	General chat	Discussing, explaining, inviting	Revised	Texts not in Sample release	S0012 S0013 S0278 S0370	4	2015-02-14	1:14:51	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Relations, mistresses, party, shopping, life without power, Big Brother, dogs, church, heating.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=15	5196200	5196201
17	SHC8	if n- no no no er if you 're in a hot country mm if you 're black and you	're sat	in the shade mm you cool better than a white person oh okay yes I see yeah cos you radiate	if_CS n-_FU no_AT no_AT no_AT er_UH if_CS you_PPY 're_VBR in_II a_AT1 hot_JJ country_NN1 mm_UH if_CS you_PPY 're_VBR black_JJ and_CC you_PPY	're_VBR sat_VVN	in_II the_AT shade_NN1 mm_UH you_PPY cool_VV0 better_RRR than_CSN a_AT1 white_JJ person_NN1 oh_UH okay_RR yes_UH I_PPIS1 see_VV0 yeah_UH cos_CS you_PPY radiate_VV0	General Chat	Discussing, explaining	Revised	Texts not in Sample release	S0012 S0013 S0278 S0370	4	2015-01-10	0:54:42	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	War and conflicts, beginnings of life, weather, ancestors, police, furniture.	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=16	5790653	5790654
18	SJH6	with her mm ? I 've had lunch with her yes you have yeah mm not pers- mm well I	was sat	here in a big roo- and she was sat there oh really ? oh yeah mm oh I did n't	with_IW her_PPHO1 mm_UH ?_YQUE I_PPIS1 've_VH0 had_VHN lunch_NN1 with_IW her_PPHO1 yes_UH you_PPY have_VH0 yeah_UH mm_UH not_XX pers-_FU mm_UH well_RR I_PPIS1	was_VBDZ sat_VVN	here_RL in_II a_AT1 big_JJ roo-_FU and_CC she_PPHS1 was_VBDZ sat_VVN there_RL oh_UH really_RR ?_YQUE oh_UH yeah_UH mm_UH oh_UH I_PPIS1 did_VDD n't_XX	Talking over lunch	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0370	3	2015-01-11	1:14:07	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Royalty, inflation, goats, gardening, getting lost, reading, writing forms.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=17	6167780	6167781
19	SJH6	her yes you have yeah mm not pers- mm well I was sat here in a big roo- and she	was sat	there oh really ? oh yeah mm oh I did n't know that yeah what was that one called ?	her_PPHO1 yes_UH you_PPY have_VH0 yeah_UH mm_UH not_XX pers-_FU mm_UH well_RR I_PPIS1 was_VBDZ sat_VVN here_RL in_II a_AT1 big_JJ roo-_FU and_CC she_PPHS1	was_VBDZ sat_VVN	there_RL oh_UH really_RR ?_YQUE oh_UH yeah_UH mm_UH oh_UH I_PPIS1 did_VDD n't_XX know_VVI that_DD1 yeah_UH what_DDQ was_VBDZ that_DD1 one_PN1 called_VVN ?_YQUE	Talking over lunch	Discussing, explaining	Revised	Texts within Sample release	S0012 S0013 S0370	3	2015-01-11	1:14:07	Speakers' home	2015 Q1	2015	Close family, partners, very close friends	Royalty, inflation, goats, gardening, getting lost, reading, writing forms.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=18	6167789	6167790
20	SJNJ	got directors in the cabinet that 's exactly what it is it 's a the old boys network when they	're sitting	on each other 's remuneration boards you know ? yeah yep you give me a million pound rise this year	got_VVN directors_NN2 in_II the_AT cabinet_NN1 that_DD1 's_VBZ exactly_RR what_DDQ it_PPH1 is_VBZ it_PPH1 's_VBZ a_AT1 the_AT old_JJ boys_NN2 network_NN1 when_CS they_PPHS2	're_VBR sitting_VVG	on_II each_PPX221 other_PPX222 's_GE remuneration_NN1 boards_NN2 you_PPY know_VV0 ?_YQUE yeah_UH yep_UH you_PPY give_VV0 me_PPIO1 a_AT1 million_NNO pound_NN1 rise_NN1 this_DD1 year_NNT1	Family have discussions after dinner.	Discussing, explaining, complaining, anecdote telling	Original	Texts within Sample release	S0024 S0142 S0143 S0144	4	2012-03-09	1:09:58	ANON's home, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Pubs, politics, economics, law, memory, discipline 	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=19	6288728	6288729
21	SJNJ	do any more we do n't go out and toil in the fields for twelve hours a day yeah we	're sitting	on our arses and use our heads yeah go on Facebook so the calories you require are not as much	do_VDI any_DD more_DAR we_PPIS2 do_VD0 n't_XX go_VVI out_RP and_CC toil_VVI in_II the_AT fields_NN2 for_IF twelve_MC hours_NNT2 a_AT1 day_NNT1 yeah_UH we_PPIS2	're_VBR sitting_VVG	on_II our_APPGE arses_NN2 and_CC use_VV0 our_APPGE heads_NN2 yeah_UH go_VV0 on_II Facebook_NP1 so_RR the_AT calories_NNU2 you_PPY require_VV0 are_VBR not_XX as_RG much_DA1	Family have discussions after dinner.	Discussing, explaining, complaining, anecdote telling	Original	Texts within Sample release	S0024 S0142 S0143 S0144	4	2012-03-09	1:09:58	ANON's home, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Pubs, politics, economics, law, memory, discipline 	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=20	6293703	6293704
22	SJNJ	you know they not doing anything they 're not making anything yeah they 're not changing anybody 's lives they	're sitting	in an office going boom boom boom phoning people up and saying I want my bill paid thank you very	you_PPY know_VV0 they_PPHS2 not_XX doing_VDG anything_PN1 they_PPHS2 're_VBR not_XX making_VVG anything_PN1 yeah_UH they_PPHS2 're_VBR not_XX changing_VVG anybody_PN1 's_GE lives_NN2 they_PPHS2	're_VBR sitting_VVG	in_II an_AT1 office_NN1 going_VVG boom_NN1 boom_NN1 boom_NN1 phoning_VVG people_NN up_RP and_CC saying_VVG I_PPIS1 want_VV0 my_APPGE bill_NN1 paid_VVD thank_VV0 you_PPY very_RG	Family have discussions after dinner.	Discussing, explaining, complaining, anecdote telling	Original	Texts within Sample release	S0024 S0142 S0143 S0144	4	2012-03-09	1:09:58	ANON's home, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Pubs, politics, economics, law, memory, discipline 	T03	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=21	6297551	6297552
23	SLJ5	but --ANONnameM 's earning good enough so mm and they 've paid off their mortgage so they 're quite they	're sitting	pretty really anyway how how are we left with this front door ? erm we have to lock it from	but_CCB --ANONnameM_NP1 's_VBZ earning_VVG good_JJ enough_RR so_RR mm_UH and_CC they_PPHS2 've_VH0 paid_VVN off_RP their_APPGE mortgage_NN1 so_CS they_PPHS2 're_VBR quite_RR they_PPHS2	're_VBR sitting_VVG	pretty_RG really_RR anyway_RR how_RRQ how_RRQ are_VBR we_PPIS2 left_VVN with_IW this_DD1 front_JJ door_NN1 ?_YQUE erm_UH we_PPIS2 have_VH0 to_TO lock_VVI it_PPH1 from_II	Chatting about our day	Discussing, explaining, inquiring, requesting, making arrangements	Revised	Texts not in Sample release	S0679 S0681	2	2015-12-02	0:47:44	living room, Hardwick Cambridge	2015 Q4	2015	Close family, partners, very close friends	Discussing the past day, Wicken Fen nature reserve, Online banking, Savings and interest, Housing and issues, Issues about Dave’s front door and door keys, Mapping genotypes, Planning the next day, Christmas cards, Choosing and delivering a Christmas present to friend, Issues with my mobility rollator, Changing battery in electric candle, Christmas lists	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=22	6904867	6904868
24	SN8K	big row about this at work the other day yeah I thought you were supposed to yes so I I	'm sitting	there so so --ANONnameM comes up to me and some of the researchers are saying there 's a big issue	big_JJ row_NN1 about_II this_DD1 at_II work_NN1 the_AT other_JJ day_NNT1 yeah_UH I_PPIS1 thought_VVD you_PPY were_VBDR supposed_JJ to_TO yes_UH so_RR I_PPIS1 I_PPIS1	'm_VBM sitting_VVG	there_RL so_RR so_RR --ANONnameM_NP1 comes_VVZ up_II21 to_II22 me_PPIO1 and_CC some_DD of_IO the_AT researchers_NN2 are_VBR saying_VVG there_EX 's_VBZ a_AT1 big_JJ issue_NN1	Chatting with close friends over a bottle of wine	Discussing, explaining, inquiring, advising, requesting, making arrangements	Revised	Texts not in Sample release	S0255 S0317 S0318	3	2014-10-01	1:21:17	ANON and ANON's home	2014 Q4	2014	Close family, partners, very close friends	Skiing, kitchens, planning permission, children (adult), university, drinking alcohol, work, LinkedIn, psychometric testing, parties/celebrations, weather, Facebook, telephones, spam telephone calls, punctuation rules, CV’s, email providers, computers, Internet, conspiracy theories, British Armed Forces, Air Cadets, airplanes, helicopters, flying, wars, cars, modified cars, hypochondriac, rugby, sewing, hobbies, Rainbows (Girl Guiding), Christmas, moving house.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=23	7547382	7547383
25	SN8K	you 'd you 'd finish it if you were su- su- supposedly this is the story yeah yeah and I	was sitting	there at work and then --ANONnameM who who 's at work goes he says yeah that 's why Apple the	you_PPY 'd_VM you_PPY 'd_VM finish_VVI it_PPH1 if_CS you_PPY were_VBDR su-_FU su-_FU supposedly_RR this_DD1 is_VBZ the_AT story_NN1 yeah_UH yeah_UH and_CC I_PPIS1	was_VBDZ sitting_VVG	there_RL at_II work_NN1 and_CC then_RT --ANONnameM_NP1 who_PNQS who_PNQS 's_VBZ at_II work_NN1 goes_VVZ he_PPHS1 says_VVZ yeah_UH that_DD1 's_VBZ why_RRQ Apple_NN1 the_AT	Chatting with close friends over a bottle of wine	Discussing, explaining, inquiring, advising, requesting, making arrangements	Revised	Texts not in Sample release	S0255 S0317 S0318	3	2014-10-01	1:21:17	ANON and ANON's home	2014 Q4	2014	Close family, partners, very close friends	Skiing, kitchens, planning permission, children (adult), university, drinking alcohol, work, LinkedIn, psychometric testing, parties/celebrations, weather, Facebook, telephones, spam telephone calls, punctuation rules, CV’s, email providers, computers, Internet, conspiracy theories, British Armed Forces, Air Cadets, airplanes, helicopters, flying, wars, cars, modified cars, hypochondriac, rugby, sewing, hobbies, Rainbows (Girl Guiding), Christmas, moving house.	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062od&batch=24	7548227	7548228
