Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
11	S5LP	leave the back door open I know what 'll happen he 'll come tomorrow she 'll say something we 'll	be stood	next to each other and she 'll be like --UNCLEARWORD that 's what she 'll say yeah and then I	leave_VVI the_AT back_NN1 door_NN1 open_JJ I_PPIS1 know_VV0 what_DDQ 'll_VM happen_VVI he_PPHS1 'll_VM come_VVI tomorrow_RT she_PPHS1 'll_VM say_VVI something_PN1 we_PPIS2 'll_VM	be_VBI stood_VVN	next_II21 to_II22 each_PPX221 other_PPX222 and_CC she_PPHS1 'll_VM be_VBI like_RR --UNCLEARWORD_FU that_DD1 's_VBZ what_DDQ she_PPHS1 'll_VM say_VVI yeah_UH and_CC then_RT I_PPIS1	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=10	1398659	1398660
12	S5LP	were you possibly talking about ? we were having craic we were having craic about everything --UNCLEARWORD as if you	're sat	in the city ta- i- as if you 're sat in a room having a conversation but --ANONnameF was n't	were_VBDR you_PPY possibly_RR talking_VVG about_II ?_YQUE we_PPIS2 were_VBDR having_VHG craic_JJ we_PPIS2 were_VBDR having_VHG craic_JJ about_II everything_PN1 --UNCLEARWORD_FU as_CS21 if_CS22 you_PPY	're_VBR sat_VVN	in_II the_AT city_NN1 ta-_FU i-_FU as_CS21 if_CS22 you_PPY 're_VBR sat_VVN in_II a_AT1 room_NN1 having_VHG a_AT1 conversation_NN1 but_CCB --ANONnameF_NP1 was_VBDZ n't_XX	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=11	1399311	1399312
13	S5LP	we were having craic about everything --UNCLEARWORD as if you 're sat in the city ta- i- as if you	're sat	in a room having a conversation but --ANONnameF was n't in the room but through the wonder of technology yeah	we_PPIS2 were_VBDR having_VHG craic_JJ about_II everything_PN1 --UNCLEARWORD_FU as_CS21 if_CS22 you_PPY 're_VBR sat_VVN in_II the_AT city_NN1 ta-_FU i-_FU as_CS21 if_CS22 you_PPY	're_VBR sat_VVN	in_II a_AT1 room_NN1 having_VHG a_AT1 conversation_NN1 but_CCB --ANONnameF_NP1 was_VBDZ n't_XX in_II the_AT room_NN1 but_CCB through_II the_AT wonder_NN1 of_IO technology_NN1 yeah_UH	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=12	1399321	1399322
14	S5LP	your room and stood there was Robert Mugabe ? who 's Robert Mugabe ? the evil African guy and he	was stood	there yeah and he was holding right get this right yeah he was holding a Double Decker I I really	your_APPGE room_NN1 and_CC stood_VVD there_EX was_VBDZ Robert_NP1 Mugabe_NP1 ?_YQUE who_PNQS 's_VBZ Robert_NP1 Mugabe_NP1 ?_YQUE the_AT evil_JJ African_JJ guy_NN1 and_CC he_PPHS1	was_VBDZ stood_VVN	there_RL yeah_UH and_CC he_PPHS1 was_VBDZ holding_VVG right_RR get_VV0 this_DD1 right_JJ yeah_UH he_PPHS1 was_VBDZ holding_VVG a_AT1 Double_JJ Decker_NN1 I_PPIS1 I_PPIS1 really_RR	Family talking over dinner	Discussing, explaining, inquiring, complaining, advising, anecdote telling	Revised	Texts within Sample release	S0245 S0246 S0249 S0357	4	2015-01-15	1:05:37	Living room, friends flat	2015 Q1	2015	Close family, partners, very close friends	School, tv, work, finances, friends, food, university	T18	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=13	1402588	1402589
15	S776	--UNCLEARWORD it 's probably worked out better for you because usually we would n't be able to talk we 'd	be sat	in the cinema and you 'd also have to pay for the cinema oh yeah yeah it 's been a	--UNCLEARWORD_FU it_PPH1 's_VBZ probably_RR worked_VVN out_RP better_RRR for_IF you_PPY because_CS usually_RR we_PPIS2 would_VM n't_XX be_VBI able_JK to_TO talk_VVI we_PPIS2 'd_VM	be_VBI sat_VVN	in_II the_AT cinema_NN1 and_CC you_PPY 'd_VM also_RR have_VHI to_TO pay_VVI for_IF the_AT cinema_NN1 oh_UH yeah_UH yeah_UH it_PPH1 's_VHZ been_VBN a_AT1	Family talk during a car journey to mother care (shop)/ in the shop/ going home from the shop, 	Discussing., explaining, making arrangements, telling jokes	Revised	Texts not in Sample release	S0421 S0422 S0423	3	2015-05-29	1:03:24	A car journey from a shop in Preston to another shop in Preston	2015 Q2	2015	Close family, partners, very close friends	Directions, shopping, travelling, moving house process/survey done on the house, renovation of areas, childhood, blankets/ other products in the shop, babies/ pregnancy, drinking water, college, youth, films/ cinema, jobs, degrees, university, drugs, different areas, traffic, 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=14	2120303	2120304
16	S7HR	oh yes are we in the adult class now ? no no he 's a teenager oh --ANONnameM no he	was sat	next to --ANONnameF and he needed like a ne- a cattle prod up the rear ? well he needed a	oh_UH yes_UH are_VBR we_PPIS2 in_II the_AT adult_NN1 class_NN1 now_RT ?_YQUE no_UH no_UH he_PPHS1 's_VBZ a_AT1 teenager_NN1 oh_UH --ANONnameM_NP1 no_UH he_PPHS1	was_VBDZ sat_VVN	next_II21 to_II22 --ANONnameF_NP1 and_CC he_PPHS1 needed_VVD like_II a_AT1 ne-_FU a_AT1 cattle_NN2 prod_VV0 up_RP the_AT rear_NN1 ?_YQUE well_RR he_PPHS1 needed_VVD a_AT1	Two friends talking about various topics (see 9 above) in The Tram coffee shop in Tarnow, Poland.	Discussing, explaining	Revised	Texts not in Sample release	S0618 S0619	2	2016-02-20	0:35:08	The Tram coffee shop in Tarnow, Poland	2016 Q1	2016	Friends, wider family circle	Checking the football results, homesickness/SAD, a student, good coffee, message from a friend, feeling responsible for students (and preparing them for exams), working on farms, dogs, media, reading, birds, umbrellas, shopping, drinking, boots. 	T06	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=15	2281864	2281865
17	S94Z	the boat comes in after the sales but erm mm but so that 's like another pot of money that	's sitting	there yeah and it 's I have n't got a problem wi- cou- we never ever go in I think	the_AT boat_NN1 comes_VVZ in_RP after_II the_AT sales_NN but_CCB erm_UH mm_UH but_CCB so_RR that_DD1 's_VBZ like_II another_DD1 pot_NN1 of_IO money_NN1 that_CST	's_VBZ sitting_VVG	there_RL yeah_UH and_CC it_PPH1 's_VBZ I_PPIS1 have_VH0 n't_XX got_VVN a_AT1 problem_NN1 wi-_FU cou-_FU we_PPIS2 never_RR ever_RR go_VV0 in_RP I_PPIS1 think_VV0	Family talking about money saving/investments/management and general life advice, and playing games.	Discussing, inquiring, advising, anecdote telling, telling jokes,	Revised	Texts not in Sample release	S0543 S0561 S0564 S0565 S0566 S0639 S0640	7	2016-01-01	1:30:14	In ANON and ANON’s home.	2016 Q1	2016	Close family, partners, very close friends	Money/finance/investment, housing, marriage, money managing and advice, jobs, banking/credit cards, insurance, life/death and funerals, games and gaming/general terminology related to game.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=16	3026441	3026442
18	S94Z	--ANONnameF at the other said yeah I 've turned this zero I mean I still hold that was where I	was sat	was it ? no yes I still hold erm there should be a rule that you have your first course	--ANONnameF_NP1 at_II the_AT other_NN1 said_VVD yeah_UH I_PPIS1 've_VH0 turned_VVN this_DD1 zero_NN1 I_PPIS1 mean_VV0 I_PPIS1 still_RR hold_VV0 that_DD1 was_VBDZ where_RRQ I_PPIS1	was_VBDZ sat_VVN	was_VBDZ it_PPH1 ?_YQUE no_UH yes_UH I_PPIS1 still_RR hold_VV0 erm_UH there_EX should_VM be_VBI a_AT1 rule_NN1 that_CST you_PPY have_VH0 your_APPGE first_MD course_NN1	Family talking about money saving/investments/management and general life advice, and playing games.	Discussing, inquiring, advising, anecdote telling, telling jokes,	Revised	Texts not in Sample release	S0543 S0561 S0564 S0565 S0566 S0639 S0640	7	2016-01-01	1:30:14	In ANON and ANON’s home.	2016 Q1	2016	Close family, partners, very close friends	Money/finance/investment, housing, marriage, money managing and advice, jobs, banking/credit cards, insurance, life/death and funerals, games and gaming/general terminology related to game.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=17	3031466	3031467
19	S94Z	at the end of the game do n't wait till the start of the next one when it could have	been sitting	in a cupboard for three weeks yeah that was the case in a couple of them I think yeah yeah	at_II the_AT end_NN1 of_IO the_AT game_NN1 do_VD0 n't_XX wait_VVI till_II the_AT start_NN1 of_IO the_AT next_MD one_PN1 when_CS it_PPH1 could_VM have_VHI	been_VBN sitting_VVG	in_II a_AT1 cupboard_NN1 for_IF three_MC weeks_NNT2 yeah_UH that_DD1 was_VBDZ the_AT case_NN1 in_II a_AT1 couple_NN1 of_IO them_PPHO2 I_PPIS1 think_VV0 yeah_UH yeah_UH	Family talking about money saving/investments/management and general life advice, and playing games.	Discussing, inquiring, advising, anecdote telling, telling jokes,	Revised	Texts not in Sample release	S0543 S0561 S0564 S0565 S0566 S0639 S0640	7	2016-01-01	1:30:14	In ANON and ANON’s home.	2016 Q1	2016	Close family, partners, very close friends	Money/finance/investment, housing, marriage, money managing and advice, jobs, banking/credit cards, insurance, life/death and funerals, games and gaming/general terminology related to game.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=18	3035043	3035044
20	S9WP	a long day at work they do n't want to Do n't want to be --UNCLEARWORD Do n't want to	be sat	in a car They certainly do n't want to be sat behind somebody at a traffic lights who stalls their	a_AT1 long_JJ day_NNT1 at_II work_NN1 they_PPHS2 do_VD0 n't_XX want_VVI to_TO Do_VD0 n't_XX want_VVI to_TO be_VBI --UNCLEARWORD_FU Do_VD0 n't_XX want_VVI to_TO	be_VBI sat_VVN	in_II a_AT1 car_NN1 They_PPHS2 certainly_RR do_VD0 n't_XX want_VVI to_TO be_VBI sat_VVN behind_II somebody_PN1 at_II a_AT1 traffic_NN1 lights_NN2 who_PNQS stalls_VVZ their_APPGE	Colleagues Complaining about Things they do not Like	Complaining	Original	Texts within Sample release	S0081 S0090	2	2012-04-05	0:22:19	Student accomodation, Salford	2012 Q2	2012	Colleagues	 Things I do not like	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=19	3323859	3323860
21	S9WP	n't want to be --UNCLEARWORD Do n't want to be sat in a car They certainly do n't want to	be sat	behind somebody at a traffic lights who stalls their car like three or four times because some instructor decides oh	n't_XX want_VVI to_TO be_VBI --UNCLEARWORD_FU Do_VD0 n't_XX want_VVI to_TO be_VBI sat_VVN in_II a_AT1 car_NN1 They_PPHS2 certainly_RR do_VD0 n't_XX want_VVI to_TO	be_VBI sat_VVN	behind_II somebody_PN1 at_II a_AT1 traffic_NN1 lights_NN2 who_PNQS stalls_VVZ their_APPGE car_NN1 like_II three_MC or_CC four_MC times_NNT2 because_CS some_DD instructor_NN1 decides_VVZ oh_UH	Colleagues Complaining about Things they do not Like	Complaining	Original	Texts within Sample release	S0081 S0090	2	2012-04-05	0:22:19	Student accomodation, Salford	2012 Q2	2012	Colleagues	 Things I do not like	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=20	3323870	3323871
22	S9YG	? I 'll stop this as well --UNCLEARWORD yeah oh she 's very organised --UNCLEARWORD there we are hello I	was sat	hello hello there we are erm no I was sat on the balcony on Tuesday for hours reading and drinking	?_YQUE I_PPIS1 'll_VM stop_VVI this_DD1 as_RR21 well_RR22 --UNCLEARWORD_FU yeah_UH oh_UH she_PPHS1 's_VBZ very_RG organised_JJ --UNCLEARWORD_FU there_RL we_PPIS2 are_VBR hello_UH I_PPIS1	was_VBDZ sat_VVN	hello_UH hello_UH there_RL we_PPIS2 are_VBR erm_UH no_UH I_PPIS1 was_VBDZ sat_VVN on_II the_AT balcony_NN1 on_II Tuesday_NPD1 for_IF hours_NNT2 reading_VVG and_CC drinking_NN1	Two friends talking about various topics (see 9 above) in the flat of one friend, in Tarnow, Poland.	Discussing, explaining	Revised	Texts not in Sample release	S0618 S0619	2	2016-02-11	0:47:05	ANON’s flat in Tarnow, Poland	2016 Q1	2016	Friends, wider family circle	The weather, sickness, returning ‘home’ (for a funeral), favourite types of job, sense of belonging/home, looking at social media images, being sick, therapy, television, holiday plans/where to live plans. 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=21	3363523	3363524
23	S9YG	she 's very organised --UNCLEARWORD there we are hello I was sat hello hello there we are erm no I	was sat	on the balcony on Tuesday for hours reading and drinking tea very good I just needed the sun yeah and	she_PPHS1 's_VBZ very_RG organised_JJ --UNCLEARWORD_FU there_RL we_PPIS2 are_VBR hello_UH I_PPIS1 was_VBDZ sat_VVN hello_UH hello_UH there_RL we_PPIS2 are_VBR erm_UH no_UH I_PPIS1	was_VBDZ sat_VVN	on_II the_AT balcony_NN1 on_II Tuesday_NPD1 for_IF hours_NNT2 reading_VVG and_CC drinking_NN1 tea_NN1 very_RG good_JJ I_PPIS1 just_RR needed_VVD the_AT sun_NN1 yeah_UH and_CC	Two friends talking about various topics (see 9 above) in the flat of one friend, in Tarnow, Poland.	Discussing, explaining	Revised	Texts not in Sample release	S0618 S0619	2	2016-02-11	0:47:05	ANON’s flat in Tarnow, Poland	2016 Q1	2016	Friends, wider family circle	The weather, sickness, returning ‘home’ (for a funeral), favourite types of job, sense of belonging/home, looking at social media images, being sick, therapy, television, holiday plans/where to live plans. 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=22	3363533	3363534
24	SA7J	yeah girls and boys yeah then it 's easier one two three girls and boys it 's easier if you	're sat	close to each other then to fi- to follow round oh okay it does n't matter does it ? or	yeah_UH girls_NN2 and_CC boys_NN2 yeah_UH then_RT it_PPH1 's_VBZ easier_JJR one_MC1 two_MC three_MC girls_NN2 and_CC boys_NN2 it_PPH1 's_VBZ easier_JJR if_CS you_PPY	're_VBR sat_VVN	close_RR to_II each_PPX221 other_PPX222 then_RT to_TO fi-_FU to_TO follow_VVI round_RP oh_UH okay_RR it_PPH1 does_VDZ n't_XX matter_VVI does_VDZ it_PPH1 ?_YQUE or_CC	Family talking whilst playing a group game around Christmas time.	Discussing, explaining, inquiring, complaining, advising requesting, announcing, making arrangements, apologising, telling jokes	Revised	Texts not in Sample release	S0543 S0561 S0563 S0564 S0565 S0566 S0568 S0569 S0639 S0640 S0665 S0691	12	2015-12-28	1:15:22	In ANON’s house.	2015 Q4	2015	Close family, partners, very close friends	Games, general game questions, alcohol, people, weather, songs, dogs, places, food, day-to-day arrangements/events, history, gender, gender norms, culture, 	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062ob&batch=23	3445692	3445693
