Token.ID	Number.of.hit	Text.ID	Context.before	Query.item	Context.after	Tagged.context.before	Tagged.query.item	Tagged.context.after	Activity.description	Selected.characterisations.of.conversation.type	Transcription.conventions.used	Sample.release.inclusion	List.of.speaker.IDs	Number.of.speakers	Recording.date	Recording.length	Recording.location	Recording.period	Year.of.recording	Inter.speaker.relationship	Topics.covered	Transcriber	URL	Match.begin.corpus.position	Match.end.corpus.position	region3	gender	region	variant	text	subj.person	check
605	305	SMRV	like yeah what the hell is going on ? oh my god and then I got up and my auntie	was sitting	by the swimming pool and I walked over to her and she just looked at me yeah and she did	like_RR yeah_UH what_DDQ the_AT hell_NN1 is_VBZ going_VVG on_RP ?_YQUE oh_UH my_APPGE god_NN1 and_CC then_RT I_PPIS1 got_VVD up_RP and_CC my_APPGE auntie_NN1	was_VBDZ sitting_VVG	by_II the_AT swimming_NN1 pool_NN1 and_CC I_PPIS1 walked_VVD over_RP to_II her_PPHO1 and_CC she_PPHS1 just_RR looked_VVN at_II me_PPIO1 yeah_UH and_CC she_PPHS1 did_VDD	Friends chatting in a park during a school  half-term break.	"Discussing, explaining, inquiring, complaining, anecdote telling, making arrangements"	Revised	Texts not in Sample release	S0405 S0555 S0556	3	20/10/2015	01:49:00	"A park, Slough"	2015 Q4	2015	"Friends, wider family circle"	"Upcoming trips/exhibitions, food & drink, schoolwork [including â€œEPQâ€â€”extended project qualification]  teaching, poverty, nationality, travel, cooking, vegetarianism, juggling, childhood stories, celebrities, Montenegro trip, university courses, personal fulfillment, humanitarianism"	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=304	7311908	7311909	South	female	NA	ing	auntie was sitting by the swimming pool and I	3	
517	194	SDFM	stupid idea what getting rid of the settee ? yeah why ? why do n't you think ? the bed	's sitting	it 's a good idea of your dad 's because you 're gon na put just a proper bed in	stupid_JJ idea_NN1 what_DDQ getting_VVG rid_VVN of_IO the_AT settee_NN1 ?_YQUE yeah_UH why_RRQ ?_YQUE why_RRQ do_VD0 n't_XX you_PPY think_VVI ?_YQUE the_AT bed_NN1	's_VBZ sitting_VVG	it_PPH1 's_VBZ a_AT1 good_JJ idea_NN1 of_IO your_APPGE dad_NN1 's_VBZ because_CS you_PPY 're_VBR gon_VVGK na_TO put_VVI just_RR a_AT1 proper_JJ bed_NN1 in_II	Family chats	"Discussing, explaining, inquiring, anecdote telling, making arrangements, telling jokes"	Revised	Texts within Sample release	S0104 S0108 S0110 S0167 S0186	5	04/01/2015	00:24:04	Speakers' home	2015 Q1	2015	"Close family, partners, very close friends"	"Birthday messages, New Year celebrations, work, social media, evening plans, job interview, foreign affairs, homosexuality, birthday presents, house dÃ©cor, pets"	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=193	4541873	4541874	South	female	SouthE	ing	bed 's sitting it 's a good idea of	3	
779	97	STDN	give them money there was a there was a telephone a t- a television conference erm quite recently and Blatter	was sitting	you know as they do with a little panel of his cohorts giving er a television interview and one of	give_VV0 them_PPHO2 money_NN1 there_EX was_VBDZ a_AT1 there_EX was_VBDZ a_AT1 telephone_NN1 a_AT1 t-_FU a_AT1 television_NN1 conference_NN1 erm_UH quite_RG recently_RR and_CC Blatter_NP1	was_VBDZ sitting_VVG	you_PPY know_VV0 as_CSA they_PPHS2 do_VD0 with_IW a_AT1 little_JJ panel_NN1 of_IO his_APPGE cohorts_NN2 giving_VVG er_UH a_AT1 television_NN1 interview_NN1 and_CC one_MC1 of_IO	Family chat over peas and chips	"Discussing, explaining, inquiring, requesting, anecdote telling"	Revised	Texts not in Sample release	S0519 S0520 S0521	3	29/09/2015	00:20:20	"Hunsonby, Cumbria"	2015 Q3	2015	"Close family, partners, very close friends"	"grandmother visit, arrangements, Fifa football, culpability"	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638j&batch=96	8994160	8994161	Midlands	male	NA	ing	Blatter was sitting you know as they do with	3	
357	225	SXLD	at the result from last time gosh it was very close very close indeed mind you back then the BNP	were standing	I do n't think they will be having any at all will they not ? I ca n't well I	at_II the_AT result_NN1 from_II last_MD time_NNT1 gosh_UH it_PPH1 was_VBDZ very_RG close_JJ very_RG close_JJ indeed_RR mind_VV0 you_PPY back_RP then_RT the_AT BNP_NP1	were_VBDR standing_VVG	I_PPIS1 do_VD0 n't_XX think_VVI they_PPHS2 will_VM be_VBI having_VHG any_DD at_RR21 all_RR22 will_VM they_PPHS2 not_XX ?_YQUE I_PPIS1 ca_VM n't_XX well_RR I_PPIS1	Grandsonâ€™s visit to grandmaâ€™s  house	"Discussing, explaining, inquiring, complaining, anecdote telling"	Revised	Texts within Sample release	S0392 S0398	2	03/04/2015	00:14:12	Speaker's home	2015 Q2	2015	"Close family, partners, very close friends"	politics	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=224	10748664	10748665	North	male	Yorkshire	ing	BNP were standing I do n't think they will	3	
364	4	S26N	we ? yeah we did we did we had a lovely time yeah and when we come back the budgie	's sitting	on eggs yeah she 's on on on the day is n't she ? yeah we got a thrushes nest	we_PPIS2 ?_YQUE yeah_UH we_PPIS2 did_VDD we_PPIS2 did_VDD we_PPIS2 had_VHD a_AT1 lovely_JJ time_NNT1 yeah_UH and_CC when_CS we_PPIS2 come_VV0 back_RP the_AT budgie_NN1	's_VBZ sitting_VVG	on_II eggs_NN2 yeah_UH she_PPHS1 's_VBZ on_II on_II on_II the_AT day_NNT1 is_VBZ n't_XX she_PPHS1 ?_YQUE yeah_UH we_PPIS2 got_VVD a_AT1 thrushes_NN2 nest_VV0	Back from Cornwall	"Discussing, Explaining, Announcing"	Revised	Texts not in Sample release	S0012 S0013 S0152	3	12/05/2015	01:48:08	Speaker's home	2015 Q2	2015	"Close family, partners, very close friends"	"School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs"	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=3	59713	59714	South	male	EasternE	ing	budgie 's sitting on eggs yeah she 's on	3	
568	257	SHTW	his front room were n't it ? yeah we were sitting in the front room and this old boy came	was sitting	in there like and we were all sit- sitting yeah and there was --ANONnameF and me and and your mum	his_APPGE front_JJ room_NN1 were_VBDR n't_XX it_PPH1 ?_YQUE yeah_UH we_PPIS2 were_VBDR sitting_VVG in_II the_AT front_JJ room_NN1 and_CC this_DD1 old_JJ boy_NN1 came_VVD	was_VBDZ sitting_VVG	in_II there_RL like_RR and_CC we_PPIS2 were_VBDR all_DB sit-_FU sitting_VVG yeah_UH and_CC there_EX was_VBDZ --ANONnameF_NP1 and_CC me_PPIO1 and_CC and_CC your_APPGE mum_NN1	Chatting	"Discussing, explaining "	Revised	Texts within Sample release	S0012 S0013 S0278	3	03/12/2014	01:47:07	Speaker's home	2014 Q4	2014	"Close family, partners, very close friends"	"Rat puppet, handbell ringing, getting eyes tested, travelling on buses"	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=256	5934987	5934988	South	male	EasternE	ing	came was sitting in there like and we were	3	
440	104	S72Q	've got you 've got ta yeah well yeah it 's cost neutral yeah exactly yeah this means your capital	is sitting	there unuseable yeah but I do n't know yeah it 's an interesting people normally only do that once they	've_VH0 got_VVI you_PPY 've_VH0 got_VVI ta_AT1 yeah_UH well_RR yeah_UH it_PPH1 's_VBZ cost_NN1 neutral_JJ yeah_UH exactly_RR yeah_UH this_DD1 means_VVZ your_APPGE capital_NN1	is_VBZ sitting_VVG	there_RL unuseable_JJ yeah_UH but_CCB I_PPIS1 do_VD0 n't_XX know_VVI yeah_UH it_PPH1 's_VBZ an_AT1 interesting_JJ people_NN normally_RR only_RR do_VD0 that_DD1 once_CS they_PPHS2	"Internet, work, politics, weather, cooking, health, house prices"	"Discussing, explaining, inquiring, anecdote telling"	Original	Texts within Sample release	S0058 S0120	2	10/02/2012	00:57:39	"A cafe, Cambridge"	2012 Q1	2012	"Friends, wider family circle"	"Internet, work, politics, weather, cooking, health, house prices"	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=103	2089984	2089985	South	male	NA	ing	capital is sitting there unuseable yeah but I do	3	
547	231	SFR2	yeah we should do something like that mm yeah cos I was thinking it 's a shame that my car	is sitting	there and it would be lovely to like be able to yeah have the car insured rather than me and	yeah_UH we_PPIS2 should_VM do_VDI something_PN1 like_II that_DD1 mm_UH yeah_UH cos_CS I_PPIS1 was_VBDZ thinking_VVG it_PPH1 's_VBZ a_AT1 shame_NN1 that_CST my_APPGE car_NN1	is_VBZ sitting_VVG	there_RL and_CC it_PPH1 would_VM be_VBI lovely_JJ to_TO like_VVI be_VBI able_JK to_TO yeah_UH have_VH0 the_AT car_NN1 insured_VVN rather_II21 than_II22 me_PPIO1 and_CC	Talking over lunch	"Discussing, explaining, inquiring, anecdote telling"	Revised	Texts within Sample release	S0058 S0428	2	04/09/2015	00:15:14	Cambridge University Press Printing House	2015 Q3	2015	Colleagues	"Work, plans, holidays, travel, Norway"	T04	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=230	5311630	5311631	South	female	EasternE	ing	car is sitting there and it would be lovely	3	
489	159	SAZX	I it no longer exists can you stop it ? so --UNCLEARWORD oi fuck off I mean oh the cat	's sitting	in the box ah that 's --UNCLEARWORD --ANONnameF 's in the box box cat oh oh no she wants to	I_PPIS1 it_PPH1 no_RR21 longer_RR22 exists_VVZ can_VM you_PPY stop_VVI it_PPH1 ?_YQUE so_RR --UNCLEARWORD_FU oi_UH fuck_VV0 off_RP I_PPIS1 mean_VV0 oh_UH the_AT cat_NN1	's_VBZ sitting_VVG	in_II the_AT box_NN1 ah_UH that_DD1 's_VBZ --UNCLEARWORD_FU --ANONnameF_NP1 's_VBZ in_II the_AT box_NN1 box_NN1 cat_NN1 oh_UH oh_UH no_UH she_PPHS1 wants_VVZ to_TO	Family speaking while playing trivial pursuit. 	"Discussing, explaining, inquiring, complaining, requesting, telling jokes"	Revised	Texts not in Sample release	S0592 S0593 S0594 S0600 S0601 S0602	6	25/12/2015	01:17:18	"ANON/ANON/ANON/ANON/ANONâ€™s house, Surrey"	2015 Q4	2015	"Close family, partners, very close friends"	"General trivia, arts and literature, geography, science, sports, history, internet."	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=158	3721334	3721335	South	male	NA	ing	cat 's sitting in the box ah that 's	3	
349	208	SWPV	in the end ? a tabby eventually the striped cat went and laid back down oh and the black cat	was sitting	up all the time oh mm they did n't get it in ? no he could he could have laid	in_II the_AT end_NN1 ?_YQUE a_AT1 tabby_NN1 eventually_RR the_AT striped_JJ cat_NN1 went_VVD and_CC laid_VVD back_RP down_RP oh_UH and_CC the_AT black_JJ cat_NN1	was_VBDZ sitting_VVG	up_RP all_DB the_AT time_NNT1 oh_UH mm_UH they_PPHS2 did_VDD n't_XX get_VVI it_PPH1 in_RP ?_YQUE no_UH he_PPHS1 could_VM he_PPHS1 could_VM have_VHI laid_VVN	Grandparents visit	"Discussing, Explaining, INquiring, Anecdote telling, making arrangements, telling jokes"	Revised	Texts not in Sample release	S0251 S0252 S0368 S0369	4	06/06/2015	01:46:33	"Sitting Room, Malton"	2015 Q2	2015	"Close family, partners, very close friends"	Household matters	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=207	10416619	10416620	North	female	Yorkshire	ing	cat was sitting up all the time oh mm	3	
477	146	S8W2	horse oh erm anyway are you crying ? I I do cry yes sorry --UNCLEARWORD anyway the erm the children	are sitting	either side of the table with a model of the mountains and the adult goes what can you see ?	horse_NN1 oh_UH erm_UH anyway_RR are_VBR you_PPY crying_VVG ?_YQUE I_PPIS1 I_PPIS1 do_VD0 cry_VVI yes_UH sorry_JJ --UNCLEARWORD_FU anyway_RR the_AT erm_UH the_AT children_NN2	are_VBR sitting_VVG	either_DD1 side_NN1 of_IO the_AT table_NN1 with_IW a_AT1 model_NN1 of_IO the_AT mountains_NN2 and_CC the_AT adult_NN1 goes_VVZ what_DDQ can_VM you_PPY see_VVI ?_YQUE	Student housemates discussing Psychology homework. 	"Discussing, explaining, telling jokes"	Revised	Texts not in Sample release	S0669 S0670 S0671	3	11/01/2016	00:28:14	"Lounge, Student house in Cathays, Cardiff, Wales"	2016 Q1	2016	"Friends, wider family circle"	Psychology â€“ Discussing a speakers homework.	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=145	2967458	2967459	South	female	NA	ing	children are sitting either side of the table with	3	
455	120	S7SZ	n't think apart from that I did n't see her cry or look sad at a- even when the coffin	was sitting	there in front of you outside in the car still hearse still you know there 's me going ah you	n't_XX think_VVI apart_II21 from_II22 that_CST I_PPIS1 did_VDD n't_XX see_VVI her_APPGE cry_NN1 or_CC look_VV0 sad_JJ at_II a-_FU even_CS21 when_CS22 the_AT coffin_NN1	was_VBDZ sitting_VVG	there_RL in_II31 front_II32 of_II33 you_PPY outside_RL in_II the_AT car_NN1 still_RR hearse_VV0 still_RR you_PPY know_VV0 there_EX 's_VBZ me_PPIO1 going_VVG ah_UH you_PPY	Two acquaintances having a cup of coffee. 	"Discussing, explaining, inquiring, complaining, anecdote telling"	Revised	Texts not in Sample release	S0262 S0300	2	14/10/2014	01:26:00	"At ANON's home in Harston, Cambridgeshire. "	2014 Q4	2014	Acquaintances	"Hospital appointments and medical procedures, death in family, funeral arrangements, dealing with death and grief, family members expressing emotions in the nuclear family, family relationships, family membersâ€™ and friendsâ€™ body weight and image; diets; nutrition. "	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=119	2555576	2555577	South	female	EasternE	ing	coffin was sitting there in front of you outside	3	
197	244	SGYW	a table next to you they do n't gi- they do n't care who 's there you know they could	be sat	there you know they 're they 're just nothing to them really and that 's kind of good in a	a_AT1 table_NN1 next_II21 to_II22 you_PPY they_PPHS2 do_VD0 n't_XX gi-_FU they_PPHS2 do_VD0 n't_XX care_VVI who_PNQS 's_VBZ there_RL you_PPY know_VV0 they_PPHS2 could_VM	be_VBI sat_VVN	there_RL you_PPY know_VV0 they_PPHS2 're_VBR they_PPHS2 're_VBR just_RR nothing_PN1 to_II them_PPHO2 really_RR and_CC that_DD1 's_VBZ kind_NN1 of_IO good_JJ in_II a_AT1	A Chat with ANON in John Lewis Part 2	"Discussing, explaining, inquiring, complaining, requesting, inviting, anecdote telling, making arrangements, telling jokes "	Original	Texts within Sample release	S0070 S0180	2	11/04/2012	00:33:59	"John Lewis cafÃ©, London"	2012 Q2	2012	"Friends, wider family circle"	"TV, internet, different cultures, teaching, language learning"	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638h&batch=243	5690694	5690695	South	male	SouthW	ed	could be sat there you know they 're they	3	
306	93	SDHU	actually because I loved that whole layout and everything and it was great if you were cooking mm people could	be sitting	at the table and you could be sitting at the table and you could put the food on the counter	actually_RR because_CS I_PPIS1 loved_VVD that_DD1 whole_JJ layout_NN1 and_CC everything_PN1 and_CC it_PPH1 was_VBDZ great_JJ if_CS you_PPY were_VBDR cooking_VVG mm_UH people_NN could_VM	be_VBI sitting_VVG	at_II the_AT table_NN1 and_CC you_PPY could_VM be_VBI sitting_VVG at_II the_AT table_NN1 and_CC you_PPY could_VM put_VVI the_AT food_NN1 on_II the_AT counter_NN1	Conversation over breakfast	"Discussing, anecdote telling "	Revised	Texts not in Sample release	S0238 S0242	2	11/09/2014	00:52:48	"My dining room, Bradford"	2014 Q3	2014	"Friends, wider family circle"	"scruffy clothes, breakfast, fruit farms, deserted medieval villages, roadworks, jam, coffee, growing herbs, old people, junk mail, phones, selling ANON's old house"	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=00638g&batch=92	4586371	4586372	North	female	Yorkshire	ing	could be sitting at the table and you could	2	
